Gene Symbol,Gene ID,Ensembl Gene ID
DNAJB6,10049,ENSG00000105993
XYLB,9942,ENSG00000093217
TMEM127,55654,ENSG00000135956
COQ9,57017,ENSG00000088682
GGCT,79017,ENSG00000006625
NDUFS7,374291,ENSG00000115286
ZNF780A,284323,ENSG00000280568//ENSG00000197782
RTN2,6253,ENSG00000125744
NDUFS2,4720,ENSG00000158864
ZPR1,8882,ENSG00000109917
USP12,219333,ENSG00000152484
DUSP11,8446,ENSG00000144048
GBAS,,-
SNN,8303,ENSG00000184602
SEMA7A,8482,ENSG00000138623//ENSG00000288455
HMMR,3161,ENSG00000072571
ALOX12B,242,ENSG00000179477
ATP6V1G1,9550,ENSG00000136888
VPS4B,9525,ENSG00000119541
ZNF217,7764,ENSG00000171940
H2AFY,,-
H2AFY,,-
SH3BGRL,6451,ENSG00000131171
FLNB,2317,ENSG00000136068
FLNB,2317,ENSG00000136068
NCOR1,9611,ENSG00000141027
VAMP4,8674,ENSG00000117533
NDUFS6,4726,ENSG00000145494
PEX14,5195,ENSG00000142655
TRIM3,10612,ENSG00000110171
ULK1,8408,ENSG00000177169
SPAG7,9552,ENSG00000091640
MRPL33,9553,ENSG00000243147
MRPL33,9553,ENSG00000243147
SEC22B,9554,ENSG00000265808
DEAF1,10522,ENSG00000177030//ENSG00000282712
PRPF40A,55660,ENSG00000196504
PRPF40A,55660,ENSG00000196504
TACC1,6867,ENSG00000147526
CDC45,8318,ENSG00000093009
GIGYF1,64599,ENSG00000146830
LRCH4,4034,ENSG00000077454
MTX2,10651,ENSG00000128654
VPS26A,9559,ENSG00000122958
NDUFB1,4707,ENSG00000183648
PMPCB,9512,ENSG00000105819
SAP30,8819,ENSG00000164105
KATNA1,11104,ENSG00000186625
ERN1,2081,ENSG00000178607
E2F6,1876,ENSG00000169016
PSIP1,11168,ENSG00000164985
ERLIN1,10613,ENSG00000107566
SUPT3H,8464,ENSG00000196284
GPC4,2239,ENSG00000076716
NDUFS3,4722,ENSG00000285387//ENSG00000213619
SRSF10,10772,ENSG00000188529
HSBP1,3281,ENSG00000230989
TNFRSF21,27242,ENSG00000146072
TADA3,10474,ENSG00000171148
TAF5L,27097,ENSG00000135801
EED,8726,ENSG00000074266
BANF1,8815,ENSG00000175334
SF3B1,23451,ENSG00000115524
CSDE1,7812,ENSG00000009307
CSDE1,7812,ENSG00000009307
WBP4,11193,ENSG00000120688
STX11,8676,ENSG00000135604
SKAP2,8935,ENSG00000005020
PRKRA,8575,ENSG00000180228
MTRF1,9617,ENSG00000120662
RPS6KA5,9252,ENSG00000100784
MYCBP2,23077,ENSG00000005810
PGLYRP1,8993,ENSG00000008438
GCAT,23464,ENSG00000100116
NPM3,10360,ENSG00000107833
LYPLA1,10434,ENSG00000120992
ERAL1,26284,ENSG00000132591
CREG1,8804,ENSG00000143162
FCN3,8547,ENSG00000142748
SNRNP200,23020,ENSG00000144028
TRMU,55687,ENSG00000100416
TIPRL,261726,ENSG00000143155
OFD1,8481,ENSG00000046651
RPS6KA4,8986,ENSG00000162302
SURF6,6838,ENSG00000148296//ENSG00000281309
PPM1B,5495,ENSG00000138032
ADAP1,11033,ENSG00000105963
UTP20,27340,ENSG00000120800
NUP155,9631,ENSG00000113569
RP2,6102,ENSG00000102218
STK16,8576,ENSG00000115661
WDHD1,11169,ENSG00000198554
CRTAP,10491,ENSG00000170275
SLC25A12,8604,ENSG00000115840
TCEA3,6920,ENSG00000282941//ENSG00000204219
ATP6AP2,10159,ENSG00000182220
GRAP2,9402,ENSG00000100351
RNASEH2A,10535,ENSG00000104889
CDC123,8872,ENSG00000151465
CAPN15,6650,ENSG00000282214//ENSG00000103326
BCAR3,8412,ENSG00000137936
RPP40,10799,ENSG00000124787
EIF3G,8666,ENSG00000130811
EIF3J,8669,ENSG00000104131
CBR3,874,ENSG00000159231
LECT1,,-
PSMD10,5716,ENSG00000101843
AP1G2,8906,ENSG00000213983
ZMPSTE24,10269,ENSG00000084073
PPP1R37,284352,ENSG00000104866
TRAPPC6A,79090,ENSG00000007255
IDH1,3417,ENSG00000138413
SCO1,6341,ENSG00000133028
CYP7B1,9420,ENSG00000172817
ATRN,8455,ENSG00000088812
RBBP9,10741,ENSG00000089050
STAM2,10254,ENSG00000115145
TUSC2,11334,ENSG00000114383
DGAT1,8694,ENSG00000185000//ENSG00000285482
CCNK,8812,ENSG00000090061
DHRS3,9249,ENSG00000162496
ARL6IP5,10550,ENSG00000144746
DYSF,8291,ENSG00000135636
DYSF,8291,ENSG00000135636
PIAS1,8554,ENSG00000033800
PIAS2,9063,ENSG00000078043
BCAS2,10286,ENSG00000116752
DCTN3,11258,ENSG00000137100
DNAJC8,22826,ENSG00000126698//ENSG00000285317
SMNDC1,10285,ENSG00000119953
RAD17,5884,ENSG00000276618//ENSG00000152942
ATP5H,10476,ENSG00000167863
FLOT1,10211,ENSG00000224740//ENSG00000223654//ENSG00000137312//ENSG00000232280//ENSG00000206480//ENSG00000206379//ENSG00000230143//ENSG00000236271
TRIO,7204,ENSG00000038382
ATP5L,,-
CPD,1362,ENSG00000108582
SASH3,54440,ENSG00000122122
GLRX3,10539,ENSG00000108010
RSL1D1,26156,ENSG00000171490
WFS1,7466,ENSG00000109501
CLPX,10845,ENSG00000166855
NCR1,9437,ENSG00000278025//ENSG00000277629//ENSG00000275637//ENSG00000277442//ENSG00000275521//ENSG00000276450//ENSG00000278362//ENSG00000274053//ENSG00000189430//ENSG00000275822//ENSG00000284113//ENSG00000273535//ENSG00000273916//ENSG00000275156//ENSG00000277334//ENSG00000277824//ENSG00000273506
NEURL1,9148,ENSG00000107954
SEC14L2,23541,ENSG00000100003
TM7SF2,7108,ENSG00000149809
CIAO1,9391,ENSG00000144021
PDE5A,8654,ENSG00000138735
ZFAND5,7763,ENSG00000107372
SRP72,6731,ENSG00000174780
JTB,10899,ENSG00000143543
CST7,8530,ENSG00000077984
DDAH1,23576,ENSG00000153904
RECQL5,9400,ENSG00000108469
URI1,8725,ENSG00000105176
B3GAT3,26229,ENSG00000149541
STK17B,9262,ENSG00000081320
MTA2,9219,ENSG00000149480
USP1,7398,ENSG00000162607
ALDH1A2,8854,ENSG00000128918
STK10,6793,ENSG00000072786
PRKD3,23683,ENSG00000115825
GFPT2,9945,ENSG00000131459
TPPP,11076,ENSG00000171368
ATG12,9140,ENSG00000145782
KBTBD11,9920,ENSG00000273645//ENSG00000176595
LTN1,26046,ENSG00000198862
TOMM70A,,-
IPO13,9670,ENSG00000117408
DDHD2,23259,ENSG00000085788
MYO1D,4642,ENSG00000176658
TOX4,9878,ENSG00000092203
MICAL2,9645,ENSG00000133816
SEC24D,9871,ENSG00000150961
SUPT7L,9913,ENSG00000119760
FCHSD2,9873,ENSG00000137478
UFL1,23376,ENSG00000014123
PHF14,9678,ENSG00000106443
PHF14,9678,ENSG00000106443
TMEM63A,9725,ENSG00000196187
FARP2,9855,ENSG00000006607
UBXN7,26043,ENSG00000163960
KLHL18,23276,ENSG00000114648
TOX,9760,ENSG00000198846
PROSC,11212,ENSG00000147471
PRPF6,24148,ENSG00000101161
LPHN1,22859,ENSG00000288324//ENSG00000072071
PCF11,51585,ENSG00000165494
FRYL,285527,ENSG00000075539
FRYL,285527,ENSG00000075539
NFAT5,10725,ENSG00000102908
ENDOD1,23052,ENSG00000149218
CDK14,5218,ENSG00000058091
GLS,2744,ENSG00000115419
GLS,2744,ENSG00000115419
HAUS5,23354,ENSG00000249115
ABLIM3,22885,ENSG00000173210
UBOX5,22888,ENSG00000185019
FBXO21,23014,ENSG00000135108
SOGA1,140710,ENSG00000149639
USP19,10869,ENSG00000172046
WDR47,22911,ENSG00000085433
AP2A2,161,ENSG00000280759//ENSG00000183020//ENSG00000281385
AP2A2,161,ENSG00000280759//ENSG00000183020//ENSG00000281385
CLSTN1,22883,ENSG00000171603
CEP152,22995,ENSG00000103995
HEXIM1,10614,ENSG00000186834
TJP3,27134,ENSG00000105289
RPP14,11102,ENSG00000163684
UBR5,51366,ENSG00000104517
AGFG2,3268,ENSG00000106351
PRSS23,11098,ENSG00000150687
SCAF4,57466,ENSG00000156304
S1PR2,9294,ENSG00000267534
NDUFB6,4712,ENSG00000165264
MFN2,9927,ENSG00000116688
DUSP14,11072,ENSG00000275932//ENSG00000276023
SNUPN,10073,ENSG00000169371
UBE4B,10277,ENSG00000130939
ZFPL1,7542,ENSG00000162300
IKBKAP,8518,ENSG00000070061
UBL3,5412,ENSG00000122042
NDUFA3,4696,ENSG00000170906//ENSG00000276220//ENSG00000276061//ENSG00000273642//ENSG00000275724//ENSG00000275605//ENSG00000276766//ENSG00000277722//ENSG00000278365//ENSG00000274359
NDUFB4,4710,ENSG00000065518
NDUFB8,4714,ENSG00000166136
NDUFA7,4701,ENSG00000267855
VAMP5,10791,ENSG00000168899
RTN3,10313,ENSG00000133318
RTN3,10313,ENSG00000133318
LETM1,3954,ENSG00000168924
STBD1,8987,ENSG00000118804
SNX4,8723,ENSG00000114520
ZWINT,11130,ENSG00000122952
KIF20A,10112,ENSG00000112984
APOL3,80833,ENSG00000128284
LRAT,9227,ENSG00000121207
KIF4A,24137,ENSG00000090889
MBD4,8930,ENSG00000129071
SBF1,6305,ENSG00000100241
KAT7,11143,ENSG00000136504
ATE1,11101,ENSG00000107669
ATE1,11101,ENSG00000107669
CCNDBP1,23582,ENSG00000166946
VAPB,9217,ENSG00000124164
RASAL1,8437,ENSG00000111344
SNAPIN,23557,ENSG00000143553
MPZL1,9019,ENSG00000197965
MPZL1,9019,ENSG00000197965
PGLS,25796,ENSG00000130313
PAPSS2,9060,ENSG00000198682
SMC2,10592,ENSG00000136824
ATG7,10533,ENSG00000197548
TRIM16,10626,ENSG00000221926
FARS2,10667,ENSG00000145982
ZBTB7A,51341,ENSG00000178951
LYPLA2,11313,ENSG00000011009
IPO7,10527,ENSG00000205339
ARIH2,10425,ENSG00000177479
TNFAIP8,25816,ENSG00000145779
TNFAIP8,25816,ENSG00000145779
TNFAIP8,25816,ENSG00000145779
MAP3K6,9064,ENSG00000142733
SLU7,10569,ENSG00000164609
PGM3,5238,ENSG00000013375
MOCS3,27304,ENSG00000124217
CD2BP2,10421,ENSG00000169217
MED26,9441,ENSG00000105085
SVIL,6840,ENSG00000197321
PIGN,23556,ENSG00000197563
BAG4,9530,ENSG00000156735
AHSA1,10598,ENSG00000100591
SLC34A2,10568,ENSG00000157765
APOM,55937,ENSG00000227567//ENSG00000226215//ENSG00000231974//ENSG00000206409//ENSG00000224290//ENSG00000235754//ENSG00000204444
ADAMTS2,9509,ENSG00000087116//ENSG00000283802
PARN,5073,ENSG00000274829//ENSG00000140694
PSMG1,8624,ENSG00000183527
FMNL1,752,ENSG00000184922
SGPL1,8879,ENSG00000166224
ABCA1,19,ENSG00000165029
NSA2,10412,ENSG00000164346
H6PD,9563,ENSG00000049239
SEC24A,10802,ENSG00000113615
SEC24B,10427,ENSG00000138802
VNN1,8876,ENSG00000112299
VNN2,8875,ENSG00000112303
VNN2,8875,ENSG00000112303
NADK,65220,ENSG00000008130
TDP2,51567,ENSG00000111802
SFT2D2,375035,ENSG00000213064
MPC2,25874,ENSG00000143158
METTL18,92342,ENSG00000171806
ETHE1,23474,ENSG00000105755
ACSL3,2181,ENSG00000123983
POLR1A,25885,ENSG00000068654
PCNT,5116,ENSG00000160299
YEATS4,8089,ENSG00000127337
ZBTB11,27107,ENSG00000066422
CNOT4,4850,ENSG00000080802
STAMBP,10617,ENSG00000124356
CPSF4,10898,ENSG00000160917
NFATC1,4772,ENSG00000131196
NFATC1,4772,ENSG00000131196
ASMTL,8623,ENSG00000169093
CDS2,8760,ENSG00000101290
FGFR1OP,,-
PPP1R3D,5509,ENSG00000132825
BRD1,23774,ENSG00000100425
BRD1,23774,ENSG00000100425
POP4,10775,ENSG00000105171
LY86,9450,ENSG00000112799
HERC2,8924,ENSG00000128731//ENSG00000277278//ENSG00000276802
RAB3D,9545,ENSG00000105514
SNAP29,9342,ENSG00000099940
CRTAM,56253,ENSG00000109943
CPNE6,9362,ENSG00000285221//ENSG00000100884
OXSR1,9943,ENSG00000172939
GGPS1,9453,ENSG00000152904
PTBP3,9991,ENSG00000119314
PTBP3,9991,ENSG00000119314
STARD3NL,83930,ENSG00000010270
LSM8,51691,ENSG00000128534
AP2A1,160,ENSG00000196961
WIZ,58525,ENSG00000011451
DDX58,23586,ENSG00000107201
STAU1,6780,ENSG00000124214
TTC4,7268,ENSG00000243725
TMEM50A,23585,ENSG00000183726
SDPR,,-
BAG2,9532,ENSG00000112208
BAG3,9531,ENSG00000151929
MAP4K4,9448,ENSG00000071054
MAP4K4,9448,ENSG00000071054
MLYCD,23417,ENSG00000103150
CRYZL1,9946,ENSG00000205758
AIFM1,9131,ENSG00000156709
CLIC3,9022,ENSG00000169583
EML2,24139,ENSG00000125746
LATS1,9113,ENSG00000131023
TSPAN13,27075,ENSG00000106537
BPNT1,10380,ENSG00000162813
FADS2,9415,ENSG00000134824
DDAH2,23564,ENSG00000206395//ENSG00000233076//ENSG00000213722//ENSG00000225635//ENSG00000227317//ENSG00000226634//ENSG00000228128
G6B,,-
ABHD16A,7920,ENSG00000236063//ENSG00000230475//ENSG00000235676//ENSG00000206403//ENSG00000224552//ENSG00000231488//ENSG00000204427
GPANK1,7918,ENSG00000206408//ENSG00000204438//ENSG00000233210//ENSG00000228605//ENSG00000236011//ENSG00000232312//ENSG00000223932
C6orf47,57827,ENSG00000228435//ENSG00000228177//ENSG00000226103//ENSG00000204439//ENSG00000226531//ENSG00000235360//ENSG00000203623
TXNDC12,51060,ENSG00000117862
TRUB2,26995,ENSG00000167112
ECD,11319,ENSG00000122882
SYF2,25949,ENSG00000117614
CBX7,23492,ENSG00000100307
EOMES,8320,ENSG00000163508
NCR2,9436,ENSG00000096264
NCR2,9436,ENSG00000096264
IGSF6,10261,ENSG00000283934//ENSG00000140749
S1PR4,8698,ENSG00000125910
RECK,8434,ENSG00000122707
MBD3,53615,ENSG00000071655
TOP3B,8940,ENSG00000100038
NUDT3,11165,ENSG00000272325
PTTG1,9232,ENSG00000164611
BCL10,8915,ENSG00000142867
NDUFB10,4716,ENSG00000140990
PPP1R17,10842,ENSG00000106341
CLPTM1,1209,ENSG00000104853
ZBED1,9189,ENSG00000214717
MOCS2,4338,ENSG00000164172
TOMM40,10452,ENSG00000130204
NAPSA,9476,ENSG00000131400
PEX11B,8799,ENSG00000131779
PAK4,10298,ENSG00000130669
WNT11,7481,ENSG00000085741
CHEK2,11200,ENSG00000183765
APBA3,9546,ENSG00000011132
ACTL6A,86,ENSG00000136518
WHSC1,7468,ENSG00000109685
MOCS2,4338,ENSG00000164172
MT-CYB,4519,ENSG00000198727
CYB5A,1528,ENSG00000166347
LDHA,3939,ENSG00000288299//ENSG00000134333
ALDH1A1,216,ENSG00000165092
DHFR,1719,ENSG00000228716
CYB5R3,1727,ENSG00000100243
GSR,2936,ENSG00000104687
MT-CO1,4512,ENSG00000198804
MT-CO2,4513,ENSG00000198712
MT-CO3,4514,ENSG00000198938
SOD1,6647,ENSG00000142168
CP,1356,ENSG00000047457
F13A1,2162,ENSG00000124491
PNP,4860,ENSG00000198805
HPRT1,3251,ENSG00000165704
GOT2,2806,ENSG00000125166
ABL1,25,ENSG00000097007
PGK1,5230,ENSG00000102144
AK1,203,ENSG00000106992
F2,2147,ENSG00000180210
HP,3240,ENSG00000257017
HPR,3250,ENSG00000261701
F9,2158,ENSG00000101981
F10,2159,ENSG00000126218
PLG,5340,ENSG00000122194
F12,2161,ENSG00000131187
PLAU,5328,ENSG00000122861
ADA,100,ENSG00000196839
MT-ATP6,4508,ENSG00000198899
CA1,759,ENSG00000133742
CA2,760,ENSG00000104267
ASS1,445,ENSG00000130707
OAS1,4938,ENSG00000089127
OAS1,4938,ENSG00000089127
SERPINC1,462,ENSG00000117601
SERPINA1,5265,ENSG00000277377//ENSG00000197249
SERPINA3,12,ENSG00000196136
AGT,183,ENSG00000135744
A2M,2,ENSG00000175899
C3,718,ENSG00000125730
C5,727,ENSG00000106804
TIMP1,7076,ENSG00000102265
CST3,1471,ENSG00000101439
CSTA,1475,ENSG00000121552
KNG1,3827,ENSG00000113889
KNG1,3827,ENSG00000113889
FOS,2353,ENSG00000170345
NRAS,4893,ENSG00000213281
HRAS,3265,ENSG00000276536//ENSG00000174775
KRAS,3845,ENSG00000133703
PDGFB,5155,ENSG00000100311
EGF,1950,ENSG00000138798
TGFB1,7040,ENSG00000105329
GCG,2641,ENSG00000115263
IGF2,3481,ENSG00000167244
LTA,4049,ENSG00000226979//ENSG00000238130//ENSG00000231408//ENSG00000173503//ENSG00000230279//ENSG00000223919//ENSG00000226275
TNF,7124,ENSG00000232810//ENSG00000230108//ENSG00000223952//ENSG00000228978//ENSG00000228849//ENSG00000206439//ENSG00000228321//ENSG00000204490
IFNA2,3440,ENSG00000188379
IFNA10,3446,ENSG00000186803
IFNA7,3444,ENSG00000214042
IFNA21,3452,ENSG00000137080
IFNA5,3442,ENSG00000147873
IFNA14,3448,ENSG00000228083
IFNB1,3456,ENSG00000171855
IFNG,3458,ENSG00000111537
IL1A,3552,ENSG00000115008
IL1B,3553,ENSG00000125538
IL2RA,3559,ENSG00000134460
IGJ,,-
nan,,-
nan,,-
nan,,-
nan,,-
IGKV1-5,28299,ENSG00000243466
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
CD4,920,ENSG00000010610
CD8A,925,ENSG00000153563
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
nan,,-
PIGR,5284,ENSG00000162896
IGHE,3497,ENSG00000211891
IGHG2,3501,ENSG00000211893
IGHG4,3503,ENSG00000211892
IGHA1,3493,ENSG00000211895
IGHA2,3494,ENSG00000211890
HLA-B,3106,ENSG00000232126//ENSG00000224608//ENSG00000206450//ENSG00000223532//ENSG00000228964//ENSG00000234745
HLA-A,3105,ENSG00000229215//ENSG00000231834//ENSG00000224320//ENSG00000235657//ENSG00000206503//ENSG00000227715//ENSG00000206505//ENSG00000223980
HLA-A,3105,ENSG00000229215//ENSG00000231834//ENSG00000224320//ENSG00000235657//ENSG00000206503//ENSG00000227715//ENSG00000206505//ENSG00000223980
HLA-H,3136,ENSG00000010704
HLA-DRA,3122,ENSG00000204287//ENSG00000227993//ENSG00000230726//ENSG00000226260//ENSG00000234794//ENSG00000228987//ENSG00000206308
HLA-DQA1,3117,ENSG00000232062//ENSG00000206305//ENSG00000225103//ENSG00000231823//ENSG00000231526//ENSG00000228284//ENSG00000225890//ENSG00000236418//ENSG00000237541//ENSG00000233192//ENSG00000206301//ENSG00000257473//ENSG00000196735//ENSG00000223793
HLA-DRB1,3123,ENSG00000236884//ENSG00000206240//ENSG00000206306//ENSG00000228080//ENSG00000229074//ENSG00000196126
HLA-DRB1,3123,ENSG00000236884//ENSG00000206240//ENSG00000206306//ENSG00000228080//ENSG00000229074//ENSG00000196126
HLA-DQB1,3119,ENSG00000233209//ENSG00000206302//ENSG00000179344//ENSG00000231286//ENSG00000206237//ENSG00000225824//ENSG00000231939
HBZ,3050,ENSG00000130656
HBD,3045//100187828,ENSG00000223609
COL1A1,1277,ENSG00000108821
COL2A1,1280,ENSG00000139219
COL3A1,1281,ENSG00000168542
LMNA,4000,ENSG00000160789
LMNA,4000,ENSG00000160789
APOA1,335,ENSG00000118137
APOE,348,ENSG00000130203
APOA2,336,ENSG00000158874
FGA,2243,ENSG00000171560
FGB,2244,ENSG00000171564
FGG,2266,ENSG00000171557
SLC4A1,6521,ENSG00000004939
APCS,325,ENSG00000132703
C1QA,712,ENSG00000173372
C1QC,714,ENSG00000159189
C9,735,ENSG00000113600
APOH,350,ENSG00000091583
LRG1,116844,ENSG00000171236
FN1,2335,ENSG00000115414
AMBP,259,ENSG00000106927
ORM1,5004,ENSG00000229314
AHSG,197,ENSG00000145192
TTR,7276,ENSG00000118271
GC,2638,ENSG00000145321
PPBP,5473,ENSG00000163736
PF4,5196,ENSG00000163737
CXCL10,3627,ENSG00000169245
TFRC,7037,ENSG00000072274
TF,7018,ENSG00000091513
LTF,4057,ENSG00000012223
HPX,3263,ENSG00000110169
FTL,2512,ENSG00000087086
FTH1,2495,ENSG00000167996
MT2A,4502,ENSG00000125148
MT-ND1,4535,ENSG00000198888
MT-ND2,4536,ENSG00000198763
MT-ND3,4537,ENSG00000198840
MT-ND4,4538,ENSG00000198886
MT-ND5,4540,ENSG00000198786
MT-ND6,4541,ENSG00000198695
MT-ATP8,4509,ENSG00000228253
ANG,283,ENSG00000214274
F11,2160,ENSG00000088926
MMP1,4312,ENSG00000196611
SLPI,6590,ENSG00000124107
HLA-B,3106,ENSG00000232126//ENSG00000224608//ENSG00000206450//ENSG00000223532//ENSG00000228964//ENSG00000234745
C4BPA,722,ENSG00000123838
VTN,7448,ENSG00000109072
HMGCR,3156,ENSG00000113161
CAT,847,ENSG00000121691
RAF1,5894,ENSG00000132155
GBA,2629,ENSG00000177628//ENSG00000262446
FUCA1,2517,ENSG00000179163
ALDOA,226,ENSG00000149925
ALDOA,226,ENSG00000149925
CSTB,1476,ENSG00000160213
ANXA1,301,ENSG00000135046
APOB,338,ENSG00000084674
CSF2,1437,ENSG00000164400
NR3C1,2908,ENSG00000113580
NR3C1,2908,ENSG00000113580
SOD2,6648,ENSG00000112096
LCAT,3931,ENSG00000213398
OAT,4942,ENSG00000065154
TK1,7083,ENSG00000167900
HRG,3273,ENSG00000113905
nan,,-
nan,,-
nan,,-
A1BG,1,ENSG00000121410
HLA-DRB1,3123,ENSG00000236884//ENSG00000206240//ENSG00000206306//ENSG00000228080//ENSG00000229074//ENSG00000196126
CD74,972,ENSG00000019582
CD74,972,ENSG00000019582
CD3D,915,ENSG00000167286
KRT6B,3854,ENSG00000185479
S100B,6285,ENSG00000160307
VWF,7450,ENSG00000110799
SEMG1,6406,ENSG00000124233
TUBB4A,10382,ENSG00000104833
GAPDH,2597,ENSG00000111640
GAPDH,2597,ENSG00000111640
ASL,435,ENSG00000126522
nan,,-
nan,,-
HLA-A,3105,ENSG00000229215//ENSG00000231834//ENSG00000224320//ENSG00000235657//ENSG00000206503//ENSG00000227715//ENSG00000206505//ENSG00000223980
HLA-DPB1,3115,ENSG00000229295//ENSG00000226826//ENSG00000230763//ENSG00000237710//ENSG00000230708//ENSG00000236693//ENSG00000215048//ENSG00000223865
MT1E,4493,ENSG00000169715
MT1F,4494,ENSG00000198417
HSPB1,3315,ENSG00000106211
TYMS,7298,ENSG00000176890
CYBB,1536,ENSG00000165168
RPN1,6184,ENSG00000163902
RPN2,6185,ENSG00000118705
GNAI2,2771,ENSG00000114353
GNAI2,2771,ENSG00000114353
SLC4A2,6522,ENSG00000164889
GYPC,2995,ENSG00000136732
IFNW1,3467,ENSG00000177047
IFNA16,3449,ENSG00000147885
ATP1A1,476,ENSG00000163399
ATP1B1,481,ENSG00000143153
ALDOB,229,ENSG00000136872
APP,351,ENSG00000142192
ARG1,383,ENSG00000118520
ALDH2,217,ENSG00000111275
ITGB3,3690,ENSG00000259207
ITGB2,3689,ENSG00000160255
CYP11A1,1583,ENSG00000288362//ENSG00000140459
S100A8,6279,ENSG00000143546
IL4,3565,ENSG00000113520
HMGN1,3150,ENSG00000205581
SERPINB2,5055,ENSG00000197632
SERPINE1,5054,ENSG00000106366
SLC25A5,292,ENSG00000005022
SERPINA5,5104,ENSG00000188488
SERPING1,710,ENSG00000149131
F13B,2165,ENSG00000143278
ISG15,9636,ENSG00000187608
LGALS2,3957,ENSG00000100079
MPO,4353,ENSG00000005381
PCCA,5095,ENSG00000175198
ALPL,249,ENSG00000162551
EIF2S1,1965,ENSG00000134001
HMGN2,3151,ENSG00000198830
ICAM1,3383,ENSG00000090339
RPLP1,6176,ENSG00000137818
RPLP2,6181,ENSG00000177600
JUN,3725,ENSG00000177606
FABP3,2170,ENSG00000121769
POLR3D,661,ENSG00000168495
SSB,6741,ENSG00000138385
HLA-A,3105,ENSG00000229215//ENSG00000231834//ENSG00000224320//ENSG00000235657//ENSG00000206503//ENSG00000227715//ENSG00000206505//ENSG00000223980
SERPINA7,6906,ENSG00000123561
SERPIND1,3053,ENSG00000099937
ITGB1,3688,ENSG00000150093
PRKCB,5579,ENSG00000166501
KRT18,3875,ENSG00000111057
CD5,921,ENSG00000110448
UROD,7389,ENSG00000126088
INSR,3643,ENSG00000171105
LCK,3932,ENSG00000182866
FYN,2534,ENSG00000010810
FYN,2534,ENSG00000010810
BCHE,590,ENSG00000114200
GLA,2717,ENSG00000102393
nan,,-
IGKV4-1,28908,ENSG00000211598
nan,,-
HLA-DOA,3111,ENSG00000232957//ENSG00000231558//ENSG00000230141//ENSG00000232962//ENSG00000235744//ENSG00000206292//ENSG00000204252
GSN,2934,ENSG00000148180
GSN,2934,ENSG00000148180
GSN,2934,ENSG00000148180
RB1,5925,ENSG00000139687
ATP5B,506,ENSG00000110955
C2,717,ENSG00000235696//ENSG00000206372//ENSG00000226560//ENSG00000166278//ENSG00000235017//ENSG00000204364//ENSG00000231543
S100A9,6280,ENSG00000163220
S100A6,6277,ENSG00000197956
APOA4,337,ENSG00000110244
CD2,914,ENSG00000116824
EIF4E,1977,ENSG00000151247
CKM,1158,ENSG00000104879
ENO1,2023,ENSG00000074800
ENO1,2023,ENSG00000074800
FCER2,2208,ENSG00000104921
PYGL,5836,ENSG00000100504
GPI,2821,ENSG00000282019//ENSG00000105220
POLB,5423,ENSG00000070501
NPM1,4869,ENSG00000181163
nan,,-
nan,,-
nan,,-
ITGAV,3685,ENSG00000138448
LPL,4023,ENSG00000175445
HEXA,3073,ENSG00000213614
nan,,-
SERPINE2,5270,ENSG00000135919
EPHX1,2052,ENSG00000143819
DBI,1622,ENSG00000155368
LDHB,3945,ENSG00000111716
NEFL,4747,ENSG00000277586
NEFM,4741,ENSG00000104722
CENPB,1059,ENSG00000125817
THBD,7056,ENSG00000178726
PROS1,5627,ENSG00000184500
P4HB,5034,ENSG00000185624
H1F0,,-
ASGR2,433,ENSG00000161944
FES,2242,ENSG00000182511
CSF1R,1436,ENSG00000182578
CTSD,1509,ENSG00000117984
C8A,731,ENSG00000157131
C8B,732,ENSG00000021852
C8G,733,ENSG00000176919
CAPN1,823,ENSG00000014216
TUBB,203068,ENSG00000232421//ENSG00000229684//ENSG00000183311//ENSG00000232575//ENSG00000235067//ENSG00000224156//ENSG00000196230//ENSG00000227739
CA3,761,ENSG00000164879
IVL,3713,ENSG00000163207
PRSS2,5645,ENSG00000282049//ENSG00000275896
ADRB2,154,ENSG00000169252
PSAP,5660,ENSG00000197746
HEXB,3074,ENSG00000049860
CTSL,1514,ENSG00000135047
PFN1,5216,ENSG00000108518
BPGM,669,ENSG00000172331
APRT,353,ENSG00000198931
EPRS,2058,ENSG00000136628
CTSB,1508,ENSG00000164733//ENSG00000285132
HSP90AA1,3320,ENSG00000080824
GALT,2592,ENSG00000213930
HNRNPC,3183,ENSG00000092199
HNRNPC,3183,ENSG00000092199
UQCRH,7388,ENSG00000173660
LYN,4067,ENSG00000254087
LYN,4067,ENSG00000254087
RET,5979,ENSG00000165731
nan,,-
FH,2271,ENSG00000091483
ERCC1,2067,ENSG00000012061
THBS1,7057,ENSG00000137801
SP1,6667,ENSG00000185591
ANXA6,309,ENSG00000197043
RHOC,389,ENSG00000155366
ABCB1,5243,ENSG00000085563
SERPINA6,866,ENSG00000170099//ENSG00000277405
SLC3A2,6520,ENSG00000168003
GUSB,2990,ENSG00000169919
PFKM,5213,ENSG00000152556
HSP90AB1,3326,ENSG00000096384
SRPR,6734,ENSG00000182934
