genes,bHCsmB_S1R1,bHCsmB_S1R2,bHCsmB_S1R3,bSLEsmB_S1R1,bSLEsmB_S1R2,bSLEsmB_S1R3
ENSG00000129538,0,0,0,11,3,0
ENSG00000129559,264,233,131,223,341,176
ENSG00000129562,521,479,191,470,1356,484
ENSG00000129566,1189,987,387,952,1855,569
ENSG00000129595,271,124,20,101,186,50
ENSG00000129596,0,2,0,1,0,0
ENSG00000129625,648,764,215,857,1328,526
ENSG00000129636,357,260,212,259,751,346
ENSG00000129646,19,23,2,14,73,17
ENSG00000129654,0,0,0,0,0,0
ENSG00000129657,1329,1752,542,1148,2625,1149
ENSG00000129667,1076,1595,294,890,2075,477
ENSG00000129673,60,67,16,48,75,17
ENSG00000129675,2318,2324,831,2514,3058,2042
ENSG00000129680,253,365,125,420,462,253
ENSG00000129682,0,6,1,5,0,3
ENSG00000129691,367,447,170,558,1063,671
ENSG00000129696,28,42,15,36,67,23
ENSG00000129744,0,0,0,1,0,0
ENSG00000129749,15,1,0,11,8,0
ENSG00000129757,0,0,0,0,0,0
ENSG00000129810,181,92,75,162,313,77
ENSG00000129816,0,0,0,0,0,0
ENSG00000129824,6,2,875,8,5,1
ENSG00000129845,0,0,0,0,0,0
ENSG00000129862,0,0,0,0,0,0
ENSG00000129864,0,0,0,0,0,0
ENSG00000129873,0,0,0,0,0,0
ENSG00000129910,0,0,0,0,1,0
ENSG00000129911,42,88,11,61,107,114
ENSG00000129925,131,178,34,123,271,69
ENSG00000129932,17,29,10,7,7,7
ENSG00000129933,684,782,268,632,943,347
ENSG00000129946,0,0,1,0,0,0
ENSG00000129951,6,10,2,0,1,1
ENSG00000129965,0,0,0,0,0,0
ENSG00000129968,22,63,12,22,103,8
ENSG00000129988,0,0,0,0,0,0
ENSG00000129990,0,0,0,0,1,4
ENSG00000129991,0,0,0,4,0,0
ENSG00000129993,1055,1467,397,894,1903,786
ENSG00000130005,9,35,0,11,15,5
ENSG00000130021,196,254,70,310,768,232
ENSG00000130023,513,656,220,790,601,275
ENSG00000130024,1128,1119,932,790,997,478
ENSG00000130032,29,25,8,12,24,6
ENSG00000130035,1,0,0,4,10,3
ENSG00000130037,0,0,0,0,0,0
ENSG00000130038,320,270,138,277,349,227
ENSG00000130045,0,0,1,3,0,0
ENSG00000130052,13,38,2,10,8,3
ENSG00000130054,0,0,0,0,0,0
ENSG00000130055,9,0,0,3,0,0
ENSG00000130066,3370,2458,2376,1842,4465,1703
ENSG00000130119,759,916,611,966,1712,736
ENSG00000130147,1,10,11,7,31,0
ENSG00000130150,495,147,147,292,290,128
ENSG00000130158,33,44,0,43,64,27
ENSG00000130159,107,245,25,109,129,74
ENSG00000130164,18,84,11,61,248,6
ENSG00000130165,767,971,395,884,1160,503
ENSG00000130167,0,0,0,0,0,0
ENSG00000130173,0,0,0,0,1,0
ENSG00000130175,371,576,132,360,632,222
ENSG00000130176,1,2,0,0,0,0
ENSG00000130177,1375,1763,390,1276,1735,544
ENSG00000130182,2,0,0,0,0,0
ENSG00000130193,31,49,2,58,73,33
ENSG00000130202,1,0,1,0,0,0
ENSG00000130203,1,0,2,1,6,0
ENSG00000130204,47,46,5,31,73,11
ENSG00000130208,0,0,0,0,0,0
ENSG00000130222,0,0,0,0,0,0
ENSG00000130224,0,0,0,3,0,0
ENSG00000130226,5,1,3,2,4,2
ENSG00000130227,942,1209,395,1025,1867,871
ENSG00000130234,2,1,0,5,3,1
ENSG00000130244,114,106,25,70,68,62
ENSG00000130254,852,916,372,813,723,736
ENSG00000130255,1571,1566,639,980,1621,880
ENSG00000130270,14,17,0,6,14,0
ENSG00000130283,0,0,0,0,0,0
ENSG00000130287,0,0,0,0,0,0
ENSG00000130294,1,0,0,2,0,0
ENSG00000130299,136,115,58,74,117,18
ENSG00000130300,0,0,0,0,0,0
ENSG00000130303,101,140,82,288,720,129
ENSG00000130304,23,35,2,6,20,4
ENSG00000130305,113,139,31,95,78,74
ENSG00000130307,1,1,0,1,1,0
ENSG00000130309,424,452,140,293,367,132
ENSG00000130311,156,166,35,182,315,95
ENSG00000130312,88,112,22,76,149,60
ENSG00000130313,89,210,47,115,85,132
ENSG00000130332,276,434,92,212,216,173
ENSG00000130338,1844,2083,1006,1950,2961,1878
ENSG00000130340,832,636,278,412,614,353
ENSG00000130347,214,114,22,136,91,81
ENSG00000130348,1616,1301,359,2086,2938,1031
ENSG00000130349,61,68,79,109,117,37
ENSG00000130363,86,45,30,76,74,64
ENSG00000130368,0,0,0,4,0,0
ENSG00000130377,14,2,0,3,0,0
ENSG00000130382,126,252,27,194,259,139
ENSG00000130383,0,0,0,0,0,0
ENSG00000130385,0,0,0,0,0,0
ENSG00000130396,1034,1021,396,620,458,501
ENSG00000130402,703,1176,281,1107,2028,774
ENSG00000130413,40,29,21,115,8,48
ENSG00000130414,2679,1714,963,1187,2555,934
ENSG00000130427,0,3,0,0,0,0
ENSG00000130429,44,62,9,58,30,54
ENSG00000130433,0,0,0,0,0,0
ENSG00000130449,728,681,287,609,738,493
ENSG00000130475,263,469,80,365,401,247
ENSG00000130477,0,4,1,6,1,0
ENSG00000130479,58,91,5,56,107,74
ENSG00000130487,32,36,23,37,96,74
ENSG00000130508,0,0,0,0,0,2
ENSG00000130511,47,82,7,71,40,31
ENSG00000130513,0,0,0,0,0,0
ENSG00000130517,104,179,40,143,62,71
ENSG00000130518,919,760,244,312,607,323
ENSG00000130520,216,235,44,214,248,84
ENSG00000130522,3356,2515,2352,1275,2155,1735
ENSG00000130528,0,0,0,3,3,0
ENSG00000130529,0,0,3,4,0,0
ENSG00000130538,0,0,0,0,0,0
ENSG00000130540,0,1,0,0,0,0
ENSG00000130544,189,246,160,414,1067,200
ENSG00000130545,1,8,6,7,2,0
ENSG00000130558,0,0,0,1,1,0
ENSG00000130559,221,274,108,278,318,177
ENSG00000130560,101,148,45,116,110,35
ENSG00000130561,2,0,1,11,0,1
ENSG00000130584,12,28,4,6,11,0
ENSG00000130589,72,59,22,126,421,111
ENSG00000130590,54,65,9,42,50,24
ENSG00000130592,570,803,269,688,706,412
ENSG00000130595,7,21,5,16,2,102
ENSG00000130598,7,2,2,8,0,5
ENSG00000130600,0,0,0,0,0,0
ENSG00000130612,2,5,1,1,2,0
ENSG00000130635,1,0,1,0,0,0
ENSG00000130638,461,561,250,436,686,646
ENSG00000130640,347,341,99,379,358,139
ENSG00000130643,0,0,0,1,0,0
ENSG00000130649,6,19,11,5,11,0
ENSG00000130653,32,86,14,54,11,14
ENSG00000130656,0,0,0,1,0,0
ENSG00000130669,8,54,4,37,34,9
ENSG00000130675,0,0,0,0,0,1
ENSG00000130684,32,34,12,35,48,22
ENSG00000130695,174,172,48,116,75,95
ENSG00000130699,209,414,91,271,556,283
ENSG00000130700,0,0,0,0,0,0
ENSG00000130701,0,4,0,0,0,0
ENSG00000130702,150,195,50,14,24,20
ENSG00000130703,774,748,237,601,1092,559
ENSG00000130706,84,161,45,96,127,56
ENSG00000130707,2,0,0,0,2,0
ENSG00000130711,0,0,0,0,0,0
ENSG00000130713,203,269,79,240,267,140
ENSG00000130714,177,148,71,140,69,64
ENSG00000130717,79,108,17,75,146,92
ENSG00000130720,0,1,0,2,0,0
ENSG00000130724,185,274,123,275,323,103
ENSG00000130725,32,61,20,42,43,17
ENSG00000130726,471,764,143,468,1152,278
ENSG00000130731,116,165,17,104,204,93
ENSG00000130733,39,52,11,39,110,63
ENSG00000130734,108,70,11,19,48,5
ENSG00000130741,4837,6910,2152,5210,6385,4533
ENSG00000130748,21,40,6,20,12,16
ENSG00000130749,92,255,68,255,255,104
ENSG00000130751,1,9,3,0,5,4
ENSG00000130755,984,706,287,884,861,343
ENSG00000130758,40,45,2,28,7,26
ENSG00000130762,0,0,0,0,0,0
ENSG00000130764,187,262,84,275,241,129
ENSG00000130766,21,38,6,36,8,8
ENSG00000130768,2,0,0,0,0,3
ENSG00000130770,414,322,170,351,555,160
ENSG00000130772,12,18,8,58,41,10
ENSG00000130775,614,933,649,497,1261,505
ENSG00000130779,1190,1830,764,1497,2766,1411
ENSG00000130783,27,12,3,30,1,41
ENSG00000130787,628,936,179,556,420,250
ENSG00000130803,387,506,174,402,534,329
ENSG00000130810,22,31,19,17,28,18
ENSG00000130811,522,643,169,542,556,306
ENSG00000130812,33,36,7,40,9,0
ENSG00000130813,187,347,89,244,456,109
ENSG00000130816,502,473,150,484,938,252
ENSG00000130818,175,219,115,331,394,214
ENSG00000130821,18,8,2,20,3,3
ENSG00000130822,0,0,0,1,0,1
ENSG00000130826,735,894,422,864,921,497
ENSG00000130827,665,908,279,728,733,333
ENSG00000130829,0,0,0,0,0,0
ENSG00000130830,80,54,14,36,44,35
ENSG00000130844,1085,401,202,333,649,480
ENSG00000130856,1315,745,411,681,963,558
ENSG00000130876,0,0,0,1,0,0
ENSG00000130881,0,0,0,0,0,0
ENSG00000130921,166,207,113,213,365,207
ENSG00000130935,501,659,309,563,627,507
ENSG00000130939,981,1249,646,925,1170,717
ENSG00000130940,126,181,41,93,65,84
ENSG00000130943,6,5,5,31,0,15
ENSG00000130948,0,0,0,0,0,0
ENSG00000130950,0,0,0,0,0,0
ENSG00000130956,89,108,16,111,54,104
ENSG00000130957,0,0,0,0,0,0
ENSG00000130958,43,33,27,55,29,26
ENSG00000130962,0,0,1,2,0,0
ENSG00000130985,1630,2652,405,2096,3760,1459
ENSG00000130988,29,11,1,5,7,0
ENSG00000130997,1,10,1,1,0,1
ENSG00000131002,14,6,1080,4,3,6
ENSG00000131007,0,0,0,0,0,0
ENSG00000131013,457,494,463,474,512,302
ENSG00000131015,0,0,1,0,0,0
ENSG00000131016,15,8,3,1,2,1
ENSG00000131018,1840,2099,542,1901,3496,1390
ENSG00000131019,4,26,1,48,5,6
ENSG00000131023,1084,1584,619,1516,2305,1466
ENSG00000131037,11,6,0,14,10,0
ENSG00000131042,22,16,19,36,20,16
ENSG00000131043,328,417,91,275,455,332
ENSG00000131044,8,22,12,21,3,17
ENSG00000131050,1,0,0,0,0,0
ENSG00000131051,9516,8977,5025,7025,8391,5316
ENSG00000131055,0,0,0,0,0,2
ENSG00000131059,0,0,0,9,0,0
ENSG00000131061,70,69,25,71,179,52
ENSG00000131067,62,35,13,43,67,9
ENSG00000131068,0,0,0,0,0,0
ENSG00000131069,34,43,6,11,40,8
ENSG00000131080,1,1,1,12,44,1
ENSG00000131089,384,359,121,329,262,132
ENSG00000131094,0,0,0,0,0,0
ENSG00000131095,0,0,0,1,0,0
ENSG00000131096,0,0,0,0,0,0
ENSG00000131097,5,4,3,2,20,4
ENSG00000131100,250,370,113,374,566,380
ENSG00000131115,173,176,106,203,318,194
ENSG00000131116,31,22,35,47,24,27
ENSG00000131126,0,0,0,0,0,0
ENSG00000131127,469,506,334,1013,1018,484
ENSG00000131142,0,0,0,0,0,0
ENSG00000131143,2943,2692,714,2066,2912,1786
ENSG00000131148,166,127,36,140,176,134
ENSG00000131149,1202,1732,465,1346,1834,1289
ENSG00000131152,0,0,0,0,0,0
ENSG00000131153,14,20,12,18,38,6
ENSG00000131165,176,308,62,295,366,126
ENSG00000131171,2144,2308,928,2655,3148,1935
ENSG00000131174,331,362,140,296,464,247
ENSG00000131183,0,0,0,3,0,0
ENSG00000131187,8,0,0,2,0,0
ENSG00000131188,15,40,15,7,4,6
ENSG00000131196,405,700,142,428,733,345
ENSG00000131203,0,0,0,4,133,0
ENSG00000131233,0,0,2,0,13,1
ENSG00000131236,2285,3151,689,3480,4646,1881
ENSG00000131238,345,482,145,570,746,494
ENSG00000131242,280,487,141,332,404,137
ENSG00000131263,1087,1146,563,943,1251,754
ENSG00000131264,5,0,1,0,0,0
ENSG00000131269,534,429,224,478,499,286
ENSG00000131323,1421,1605,697,1007,2029,853
ENSG00000131351,206,102,83,128,107,85
ENSG00000131355,3,5,3,1,61,1
ENSG00000131368,692,677,148,440,764,135
ENSG00000131370,82,106,36,103,109,68
ENSG00000131373,326,215,97,241,201,175
ENSG00000131374,2016,2153,750,2150,4130,1917
ENSG00000131375,737,949,488,646,1412,563
ENSG00000131378,456,392,125,295,303,217
ENSG00000131379,5,9,0,12,41,2
ENSG00000131381,400,563,311,344,698,268
ENSG00000131386,0,0,0,0,0,0
ENSG00000131389,1260,1114,390,913,1340,505
ENSG00000131398,40,42,18,54,23,27
ENSG00000131400,6,14,3,8,15,0
ENSG00000131401,966,1147,215,1174,2025,645
ENSG00000131408,272,438,78,241,421,284
ENSG00000131409,2,1,1,0,0,0
ENSG00000131435,0,0,0,3,0,0
ENSG00000131437,280,298,213,381,347,247
ENSG00000131446,281,530,80,523,807,232
ENSG00000131459,1,0,0,4,0,0
ENSG00000131462,20,11,1,20,21,19
ENSG00000131467,1088,1710,525,1720,3319,1426
ENSG00000131469,14151,9495,4261,3750,4900,5502
ENSG00000131470,21,21,3,17,1,4
ENSG00000131471,1,14,0,6,7,0
ENSG00000131473,450,882,200,991,1658,833
ENSG00000131475,62,160,45,150,223,187
ENSG00000131477,0,0,0,0,0,0
ENSG00000131480,2,4,0,11,10,2
ENSG00000131482,0,0,0,3,1,0
ENSG00000131484,0,1,0,0,1,2
ENSG00000131495,164,142,78,141,251,56
ENSG00000131503,467,289,163,244,387,245
ENSG00000131504,1388,1849,476,2031,2859,1209
ENSG00000131507,548,651,347,483,935,497
ENSG00000131508,782,1228,715,1183,2755,787
ENSG00000131538,0,0,0,0,0,0
ENSG00000131548,0,0,0,0,0,0
ENSG00000131558,722,500,108,327,373,512
ENSG00000131584,163,188,39,95,105,27
ENSG00000131591,57,62,5,33,44,9
ENSG00000131620,0,0,0,1,0,0
ENSG00000131626,747,555,223,420,704,283
ENSG00000131634,1,2,2,54,28,2
ENSG00000131650,0,6,0,3,0,1
ENSG00000131652,102,90,11,65,20,35
ENSG00000131653,76,120,15,64,208,62
ENSG00000131668,0,0,0,0,0,0
ENSG00000131669,48,82,12,1,1,10
ENSG00000131686,0,0,0,2,0,0
ENSG00000131697,64,81,14,29,100,11
ENSG00000131711,97,72,54,34,110,189
ENSG00000131721,0,0,0,1,0,0
ENSG00000131724,654,1310,196,1508,3710,553
ENSG00000131725,486,529,247,571,1142,490
ENSG00000131730,17,14,2,20,4,11
ENSG00000131732,289,189,87,314,501,200
ENSG00000131737,1,0,0,1,0,0
ENSG00000131738,0,0,0,0,0,0
ENSG00000131746,1,0,0,2,28,1
ENSG00000131747,19,35,19,114,165,4
ENSG00000131748,150,278,45,192,178,200
ENSG00000131759,216,313,136,249,424,204
ENSG00000131771,4,3,0,1,5,5
ENSG00000131773,1,6,0,8,7,0
ENSG00000131778,23,40,2,14,27,3
ENSG00000131779,455,368,218,521,857,226
ENSG00000131781,74,127,38,143,126,106
ENSG00000131788,210,299,80,193,282,131
ENSG00000131791,694,509,189,601,576,267
ENSG00000131797,398,456,107,397,440,197
ENSG00000131808,0,0,0,1,0,0
ENSG00000131828,558,526,230,527,673,445
ENSG00000131831,0,0,0,2,0,0
ENSG00000131844,1029,878,444,1061,1922,609
ENSG00000131845,66,86,45,136,220,61
ENSG00000131848,40,34,3,37,26,7
ENSG00000131849,36,25,12,28,53,2
ENSG00000131864,0,0,0,0,0,0
ENSG00000131871,200,263,160,296,320,148
ENSG00000131873,209,353,169,422,752,409
ENSG00000131876,975,1055,448,510,701,687
ENSG00000131885,0,0,0,0,0,0
ENSG00000131899,72,100,11,103,81,76
ENSG00000131910,0,0,0,0,0,0
ENSG00000131914,8,0,1,5,8,1
ENSG00000131931,77,130,67,103,143,122
ENSG00000131941,8,23,2,16,11,53
ENSG00000131943,139,103,34,165,209,181
ENSG00000131944,2,24,2,8,25,0
ENSG00000131951,1,1,0,0,0,0
ENSG00000131966,356,430,333,387,375,234
ENSG00000131969,0,7,0,0,0,2
ENSG00000131979,333,351,180,500,625,242
ENSG00000131981,26,12,8,44,39,70
ENSG00000131982,0,0,0,0,1,0
ENSG00000132000,0,4,1,2,0,1
ENSG00000132002,457,217,58,162,281,248
ENSG00000132003,6,4,1,2,2,3
ENSG00000132004,0,1,0,4,0,0
ENSG00000132005,83,120,9,72,274,66
ENSG00000132010,4,3,1,10,16,2
ENSG00000132016,0,2,0,0,0,2
ENSG00000132017,145,201,23,141,162,106
ENSG00000132024,116,201,44,158,142,77
ENSG00000132026,1,0,0,0,0,0
ENSG00000132031,0,0,0,0,1,0
ENSG00000132109,172,275,110,302,1053,337
ENSG00000132122,58,64,4,32,12,45
ENSG00000132128,285,335,107,370,518,268
ENSG00000132141,18,32,47,39,328,16
ENSG00000132153,384,444,127,287,634,178
ENSG00000132155,1878,1088,586,1239,1851,818
ENSG00000132164,0,1,0,16,0,0
ENSG00000132170,7,1,0,2,27,5
ENSG00000132182,2293,3376,629,2072,3787,1717
ENSG00000132185,1605,2274,675,2254,2919,1329
ENSG00000132196,150,73,42,103,109,49
ENSG00000132199,187,201,36,163,330,56
ENSG00000132204,14,5,0,9,11,0
ENSG00000132205,33,17,15,47,18,13
ENSG00000132207,2,0,0,0,0,0
ENSG00000132254,184,258,65,184,61,134
ENSG00000132256,161,209,102,415,1102,211
ENSG00000132259,0,5,0,0,0,0
ENSG00000132274,3554,4170,1809,6086,12241,2768
ENSG00000132275,346,369,195,313,234,354
ENSG00000132286,431,394,224,376,537,200
ENSG00000132294,1000,1254,600,1143,2370,1210
ENSG00000132297,0,0,0,3,0,0
ENSG00000132300,1854,1801,666,1779,2360,1028
ENSG00000132305,456,609,151,603,618,435
ENSG00000132313,182,166,62,370,287,184
ENSG00000132321,0,12,0,2,2,0
ENSG00000132323,669,620,368,370,485,479
ENSG00000132326,310,385,93,246,509,345
ENSG00000132329,0,0,0,0,0,0
ENSG00000132330,92,60,31,79,108,44
ENSG00000132334,137,106,89,67,253,44
ENSG00000132341,2063,2278,1063,1978,2923,1537
ENSG00000132356,1326,1261,561,1554,2438,1152
ENSG00000132357,2,17,9,88,58,34
ENSG00000132359,189,141,87,225,463,135
ENSG00000132361,214,392,74,264,312,186
ENSG00000132376,126,233,40,127,241,108
ENSG00000132382,151,248,60,221,445,146
ENSG00000132383,173,416,96,338,472,165
ENSG00000132386,35,28,10,11,19,3
ENSG00000132388,1531,2834,1004,1885,4308,1699
ENSG00000132394,144,107,12,59,114,47
ENSG00000132405,283,382,84,227,411,192
ENSG00000132406,78,128,38,57,165,48
ENSG00000132423,37,21,7,22,49,8
ENSG00000132424,9348,8857,4282,7234,7502,3400
ENSG00000132429,0,0,0,0,0,0
ENSG00000132432,395,432,796,381,617,250
ENSG00000132434,563,345,234,153,363,236
ENSG00000132436,281,280,142,231,271,142
ENSG00000132437,0,0,0,0,0,0
ENSG00000132446,0,0,0,0,0,0
ENSG00000132463,444,744,254,707,942,502
ENSG00000132464,79,71,86,17,61,19
ENSG00000132465,1690,1363,943,504,3899,1596
ENSG00000132466,2703,3033,921,2951,4947,2373
ENSG00000132467,399,651,264,779,966,444
ENSG00000132470,0,0,0,8,12,0
ENSG00000132471,705,1095,218,848,1499,621
ENSG00000132475,4466,6041,2543,5462,6653,4543
ENSG00000132478,350,453,163,373,683,262
ENSG00000132481,20,48,4,53,19,11
ENSG00000132485,1841,2168,1180,2119,2354,1093
ENSG00000132507,1120,1331,309,709,1151,868
ENSG00000132510,852,1268,366,425,954,438
ENSG00000132514,0,1,1,5,0,0
ENSG00000132517,5,4,0,7,1,6
ENSG00000132518,0,0,0,0,0,0
ENSG00000132522,72,141,29,70,29,25
ENSG00000132530,299,444,112,1905,4017,900
ENSG00000132535,23,17,4,15,162,11
ENSG00000132541,76,65,10,49,167,32
ENSG00000132549,4772,3033,1405,2873,5852,2306
ENSG00000132554,0,0,0,3,0,0
ENSG00000132561,14,22,24,18,1,8
ENSG00000132563,0,1,0,0,0,0
ENSG00000132570,382,273,131,324,241,333
ENSG00000132581,224,360,124,233,485,296
ENSG00000132589,810,1556,322,1190,2173,954
ENSG00000132591,80,186,29,134,141,83
ENSG00000132600,253,288,57,189,304,154
ENSG00000132603,422,498,227,467,957,380
ENSG00000132604,883,1424,273,1237,2358,1058
ENSG00000132612,225,322,65,241,271,153
ENSG00000132613,28,10,9,13,45,12
ENSG00000132622,7,3,3,1,0,11
ENSG00000132623,64,90,31,66,141,82
ENSG00000132631,0,0,0,0,0,0
ENSG00000132635,395,601,69,340,276,41
ENSG00000132639,38,1,14,13,25,1
ENSG00000132640,2,9,7,7,1,0
ENSG00000132646,132,113,26,172,267,71
ENSG00000132661,82,95,31,43,59,46
ENSG00000132664,245,311,197,253,340,132
ENSG00000132669,4,5,7,31,52,4
ENSG00000132670,509,737,237,656,1504,503
ENSG00000132671,1,0,0,0,0,0
ENSG00000132676,649,706,220,687,820,326
ENSG00000132677,0,0,1,0,0,0
ENSG00000132680,828,1268,326,1244,1038,352
ENSG00000132681,1,1,0,2,0,0
ENSG00000132688,0,0,0,0,0,0
ENSG00000132692,0,0,0,4,3,0
ENSG00000132693,1,0,0,0,0,0
ENSG00000132694,39,69,17,70,203,70
ENSG00000132698,26,40,2,25,0,20
ENSG00000132702,1,0,0,0,1,1
ENSG00000132703,0,0,0,0,0,0
ENSG00000132704,1895,2691,685,1368,1727,499
ENSG00000132716,1049,1243,370,921,1056,461
ENSG00000132718,184,96,52,417,390,208
ENSG00000132740,111,172,26,54,136,170
ENSG00000132744,0,2,1,1,0,9
ENSG00000132746,1,0,0,0,0,0
ENSG00000132749,9,42,18,69,152,18
ENSG00000132763,6,17,5,39,23,14
ENSG00000132768,149,209,11,141,199,181
ENSG00000132773,173,247,51,89,152,154
ENSG00000132780,741,831,361,792,1242,451
ENSG00000132781,131,86,34,66,75,42
ENSG00000132792,188,273,77,219,420,152
ENSG00000132793,0,0,1,2,1,0
ENSG00000132801,5,23,1,20,41,17
ENSG00000132819,642,855,759,282,353,485
ENSG00000132821,0,0,0,0,0,0
ENSG00000132823,1333,1532,463,724,1275,658
ENSG00000132824,1137,1486,520,1719,3511,1566
ENSG00000132825,59,50,26,104,152,36
ENSG00000132832,0,0,0,0,1,0
ENSG00000132837,7,2,0,1,31,3
ENSG00000132840,6,3,1,5,4,0
ENSG00000132842,1371,969,460,1009,1780,929
ENSG00000132846,7,29,7,33,13,8
ENSG00000132849,921,802,436,807,1540,624
ENSG00000132854,1,0,0,3,0,1
ENSG00000132855,8,7,1,6,20,1
ENSG00000132872,0,0,0,0,0,0
ENSG00000132874,4,6,8,1,2,3
ENSG00000132879,278,333,49,199,87,92
ENSG00000132881,9,5,1,13,1,1
ENSG00000132906,41,177,40,144,265,59
ENSG00000132911,0,0,0,4,0,0
ENSG00000132912,509,473,293,377,1066,409
ENSG00000132915,10,7,3,27,44,10
ENSG00000132932,2,10,1,14,0,0
ENSG00000132938,25,11,2,2,29,0
ENSG00000132950,541,721,190,638,536,591
ENSG00000132952,1109,1628,540,1155,2361,1038
ENSG00000132953,1315,1345,644,1507,2802,1760
ENSG00000132958,0,0,0,5,0,0
ENSG00000132963,464,529,390,740,1284,528
ENSG00000132964,210,233,106,235,631,224
ENSG00000132965,190,512,147,685,975,387
ENSG00000132967,1,2,1,0,30,11
ENSG00000132970,0,6,4,23,0,0
ENSG00000132972,182,2,2,3,159,1
ENSG00000132975,0,0,0,4,0,0
ENSG00000133019,0,1,0,9,0,0
ENSG00000133020,0,0,0,3,0,0
ENSG00000133026,574,404,236,286,484,416
ENSG00000133027,17,58,20,24,38,17
ENSG00000133028,310,256,175,281,348,193
ENSG00000133030,1205,1738,539,1150,1887,890
ENSG00000133048,0,0,0,0,0,0
ENSG00000133055,0,0,0,0,0,0
ENSG00000133056,1036,1142,252,1304,1515,612
ENSG00000133059,184,432,159,216,273,159
ENSG00000133063,35,22,6,35,67,12
ENSG00000133065,390,536,200,383,530,421
ENSG00000133067,1,1,0,1,0,4
ENSG00000133069,22,24,2,35,19,10
ENSG00000133083,0,0,0,0,0,0
ENSG00000133101,0,0,1,1,1,1
ENSG00000133103,558,508,191,547,818,410
ENSG00000133104,99,208,51,280,183,175
ENSG00000133105,0,0,0,0,0,0
ENSG00000133106,584,562,335,2446,5120,1480
ENSG00000133107,1,0,0,0,0,0
ENSG00000133110,0,0,0,0,0,0
ENSG00000133111,58,85,35,91,93,94
ENSG00000133112,130419,75307,40247,60085,33185,39284
ENSG00000133114,352,345,230,480,553,260
ENSG00000133115,0,0,0,0,0,0
ENSG00000133116,0,0,0,2,0,0
ENSG00000133119,91,213,52,137,275,101
ENSG00000133121,0,0,0,9,0,0
ENSG00000133124,2,8,1,6,1,3
ENSG00000133131,31,78,24,42,8,43
ENSG00000133134,251,322,174,277,130,119
ENSG00000133135,2,0,0,3,0,0
ENSG00000133136,0,0,0,1,0,1
ENSG00000133138,28,22,6,67,79,26
ENSG00000133142,244,259,191,342,150,262
ENSG00000133169,1,18,9,12,6,2
ENSG00000133193,151,121,54,214,177,106
ENSG00000133195,170,183,80,171,382,99
ENSG00000133216,0,0,1,0,1,0
ENSG00000133226,2662,3259,1733,2227,3151,1925
ENSG00000133243,95,152,38,114,317,63
ENSG00000133246,1,12,3,2,18,28
ENSG00000133247,3,6,0,7,3,1
ENSG00000133250,44,75,22,49,70,53
ENSG00000133256,54,46,9,60,42,34
ENSG00000133265,32,106,7,44,24,21
ENSG00000133275,265,429,87,296,310,121
ENSG00000133302,194,160,128,197,149,152
ENSG00000133313,1123,1272,422,1437,1520,714
ENSG00000133315,2,0,0,2,1,0
ENSG00000133316,153,166,40,198,215,78
ENSG00000133317,0,0,0,1,0,1
ENSG00000133318,278,525,138,538,487,435
ENSG00000133321,266,170,55,200,327,93
ENSG00000133328,1,0,0,5,32,9
ENSG00000133392,170,249,87,145,207,113
ENSG00000133393,546,595,198,657,1089,632
ENSG00000133398,681,809,459,486,605,777
ENSG00000133401,49,65,37,80,170,133
ENSG00000133422,183,208,72,212,476,148
ENSG00000133424,385,367,104,509,306,473
ENSG00000133433,0,0,0,0,0,0
ENSG00000133454,0,0,0,1,4,0
ENSG00000133460,318,526,107,416,237,188
ENSG00000133466,132,163,12,108,97,22
ENSG00000133475,0,0,0,0,0,0
ENSG00000133477,1,0,0,1,1,0
ENSG00000133488,2,0,0,0,0,0
ENSG00000133519,0,0,0,2,0,0
ENSG00000133561,0,2,0,12,5,2
ENSG00000133574,16,22,9,42,2,102
ENSG00000133597,95,179,72,175,232,151
ENSG00000133606,1682,2250,1289,2287,4220,1745
ENSG00000133612,55,125,60,39,13,17
ENSG00000133619,90,120,19,40,31,7
ENSG00000133624,628,352,111,409,546,263
ENSG00000133627,60,54,20,40,21,20
ENSG00000133636,0,0,0,0,0,0
ENSG00000133639,4146,7024,3114,2749,8577,2910
ENSG00000133640,0,0,0,1,0,0
ENSG00000133641,266,259,114,220,445,165
ENSG00000133657,923,1042,831,811,1698,705
ENSG00000133661,0,0,0,1,0,0
ENSG00000133665,0,0,0,0,0,0
ENSG00000133678,86,112,44,106,232,119
ENSG00000133687,3,2,1,6,2,1
ENSG00000133703,953,995,899,958,1182,766
ENSG00000133704,731,859,280,944,1583,584
ENSG00000133706,2155,2439,980,2797,4490,1731
ENSG00000133710,1,0,0,1,0,0
ENSG00000133731,227,243,188,309,435,304
ENSG00000133739,12,32,9,59,87,42
ENSG00000133740,394,365,182,388,730,254
ENSG00000133742,18,0,6,4,5,5
ENSG00000133773,1127,883,742,666,807,722
ENSG00000133789,5569,7472,3626,7682,10723,7011
ENSG00000133794,510,317,148,262,346,282
ENSG00000133800,1,9,14,9,13,26
ENSG00000133805,695,599,206,558,682,306
ENSG00000133812,627,486,197,395,495,261
ENSG00000133816,2,1,3,18,2,7
ENSG00000133818,391,358,130,500,699,313
ENSG00000133835,838,1116,366,1581,2583,794
ENSG00000133858,2693,3243,1199,4076,3814,2097
ENSG00000133863,0,0,0,2,0,0
