genes,bHCnaiveB_S1R1,bHCnaiveB_S1R2,bHCnaiveB_S1R3,bSLEnaiveB_S1R1,bSLEnaiveB_S1R2,bSLEnaiveB_S1R3
ENSG00000186765,4,6,0,7,3,2
ENSG00000186766,0,4,0,0,1,0
ENSG00000186767,211,334,151,199,742,96
ENSG00000186777,0,2,2,3,6,0
ENSG00000186787,43,31,7,21,61,16
ENSG00000186788,0,0,0,1,0,0
ENSG00000186790,0,0,0,1,0,0
ENSG00000186792,18,20,1,2,131,0
ENSG00000186795,0,4,0,0,0,0
ENSG00000186803,0,0,0,0,1,0
ENSG00000186806,22,24,4,25,17,7
ENSG00000186810,20,29,12,28,539,42
ENSG00000186812,291,442,202,484,471,230
ENSG00000186814,322,728,222,554,853,248
ENSG00000186815,442,1303,148,1003,1311,425
ENSG00000186818,1,11,9,26,15,6
ENSG00000186825,0,0,0,0,0,0
ENSG00000186827,0,1,0,1,0,0
ENSG00000186831,0,0,0,0,0,0
ENSG00000186832,0,0,0,0,0,0
ENSG00000186834,829,836,389,595,2053,477
ENSG00000186838,0,0,0,0,0,0
ENSG00000186844,0,0,0,0,0,0
ENSG00000186847,0,0,0,0,0,1
ENSG00000186854,147,225,99,178,449,253
ENSG00000186860,0,0,0,4,0,0
ENSG00000186862,0,0,0,11,1,2
ENSG00000186866,132,106,19,103,142,38
ENSG00000186867,0,0,0,0,0,0
ENSG00000186868,4,19,4,2,17,4
ENSG00000186871,294,255,26,119,170,30
ENSG00000186881,0,0,0,0,0,0
ENSG00000186886,0,0,0,0,0,0
ENSG00000186889,0,0,1,2,0,0
ENSG00000186891,2,0,3,13,1,0
ENSG00000186895,0,0,0,0,0,0
ENSG00000186897,0,0,0,0,0,0
ENSG00000186907,0,0,0,0,0,3
ENSG00000186908,800,1083,651,741,1241,381
ENSG00000186910,0,0,0,1,0,0
ENSG00000186912,14,4,1,1,23,1
ENSG00000186918,541,1031,367,465,448,286
ENSG00000186919,5,28,0,15,13,8
ENSG00000186924,0,0,0,0,0,0
ENSG00000186925,0,0,0,0,0,0
ENSG00000186930,0,0,0,0,0,0
ENSG00000186940,0,1,0,0,0,0
ENSG00000186943,0,0,0,0,0,0
ENSG00000186951,296,393,91,280,726,177
ENSG00000186952,19,25,4,26,3,16
ENSG00000186960,1,1,0,1,2,0
ENSG00000186965,0,0,0,0,0,0
ENSG00000186967,0,0,0,0,0,0
ENSG00000186970,0,0,0,0,0,0
ENSG00000186971,0,0,0,0,0,0
ENSG00000186973,0,0,0,4,0,0
ENSG00000186976,2,3,1,4,0,18
ENSG00000186977,0,0,0,0,0,0
ENSG00000186980,0,0,0,0,0,0
ENSG00000186994,7,0,0,1,0,2
ENSG00000186998,0,4,0,0,28,0
ENSG00000187003,0,0,1,1,0,1
ENSG00000187005,0,0,0,0,0,0
ENSG00000187010,13,28,1,58,99,0
ENSG00000187012,0,0,0,0,0,0
ENSG00000187013,0,0,0,0,0,0
ENSG00000187017,0,0,0,2,0,1
ENSG00000187021,2,4,1,5,0,0
ENSG00000187024,1,0,0,0,1,0
ENSG00000187026,0,0,0,0,0,0
ENSG00000187033,0,0,0,4,0,1
ENSG00000187037,1,1,0,7,32,4
ENSG00000187045,17,11,3,3,24,6
ENSG00000187048,0,0,0,2,1,0
ENSG00000187049,13,49,20,29,102,10
ENSG00000187051,200,124,48,47,170,33
ENSG00000187054,0,0,4,1,0,0
ENSG00000187066,0,4,3,0,0,1
ENSG00000187068,0,1,2,6,1,0
ENSG00000187079,0,3,0,5,1,8
ENSG00000187080,1,4,8,19,62,2
ENSG00000187082,0,0,0,0,0,0
ENSG00000187091,9,28,12,32,82,18
ENSG00000187094,0,0,1,0,0,0
ENSG00000187097,145,350,37,145,365,77
ENSG00000187098,3,4,0,2,3,0
ENSG00000187103,0,0,0,0,0,0
ENSG00000187105,14,26,4,32,19,14
ENSG00000187109,5971,6414,3416,5653,4742,2664
ENSG00000187116,2,0,2,2,1,9
ENSG00000187118,175,169,50,91,262,71
ENSG00000187122,19,43,5,18,53,2
ENSG00000187123,0,0,0,3,7,0
ENSG00000187134,0,2,0,12,4,2
ENSG00000187135,0,0,1,0,0,0
ENSG00000187140,0,0,0,1,0,0
ENSG00000187144,25,49,6,22,46,28
ENSG00000187147,502,868,175,670,1342,314
ENSG00000187151,18,6,3,7,1,3
ENSG00000187164,4,4,2,5,1,7
ENSG00000187166,0,2,0,2,8,0
ENSG00000187170,0,0,0,0,0,0
ENSG00000187172,0,1,0,6,0,0
ENSG00000187173,0,0,0,1,0,0
ENSG00000187175,0,0,0,0,0,0
ENSG00000187180,0,0,0,0,0,0
ENSG00000187185,0,0,0,0,0,0
ENSG00000187186,0,0,0,0,0,1
ENSG00000187187,162,166,72,164,79,91
ENSG00000187189,388,667,152,294,494,189
ENSG00000187191,0,0,0,0,0,0
ENSG00000187193,4,2,2,4,8,0
ENSG00000187210,1363,1186,326,1327,3203,857
ENSG00000187223,0,0,0,0,0,0
ENSG00000187229,2,0,0,7,4,1
ENSG00000187231,1602,4410,1386,2074,2753,1357
ENSG00000187238,0,0,0,0,0,0
ENSG00000187239,2465,3371,945,2454,5300,1864
ENSG00000187240,168,182,35,78,43,65
ENSG00000187242,0,1,0,1,0,0
ENSG00000187243,0,0,0,0,0,0
ENSG00000187244,0,0,0,0,0,2
ENSG00000187257,658,1162,323,935,2258,495
ENSG00000187258,0,3,0,0,0,0
ENSG00000187260,38,21,8,29,87,25
ENSG00000187266,11,29,9,15,86,23
ENSG00000187268,0,3,2,7,0,0
ENSG00000187272,0,0,0,0,0,0
ENSG00000187288,2,0,0,1,0,1
ENSG00000187323,0,5,0,2,1,0
ENSG00000187325,199,282,171,172,276,126
ENSG00000187372,0,1,0,0,0,0
ENSG00000187391,2,13,7,20,8,3
ENSG00000187398,0,0,0,8,1,0
ENSG00000187416,0,6,6,0,0,1
ENSG00000187446,584,554,161,411,2316,282
ENSG00000187472,1,1,1,0,0,0
ENSG00000187474,3,1,1,0,0,0
ENSG00000187475,0,0,0,0,0,0
ENSG00000187479,0,0,0,1,0,1
ENSG00000187481,0,0,0,1,0,0
ENSG00000187483,0,0,0,0,2,0
ENSG00000187486,16,11,2,1,32,1
ENSG00000187492,1,1,2,4,1,0
ENSG00000187498,0,2,0,4,0,0
ENSG00000187504,3,1,0,0,2,1
ENSG00000187510,50,34,36,42,251,27
ENSG00000187513,0,0,0,5,0,1
ENSG00000187514,4058,5685,4071,3421,5689,2523
ENSG00000187516,0,0,0,0,0,0
ENSG00000187522,253,309,146,189,81,94
ENSG00000187527,0,6,0,7,1,0
ENSG00000187531,192,288,54,213,136,114
ENSG00000187533,0,0,0,7,0,0
ENSG00000187534,0,1,0,0,4,1
ENSG00000187535,5,42,8,29,48,23
ENSG00000187536,11,8,1,22,39,4
ENSG00000187537,0,0,0,0,0,0
ENSG00000187545,0,0,0,0,0,0
ENSG00000187546,0,0,0,1,0,0
ENSG00000187550,0,0,0,1,0,0
ENSG00000187553,0,5,0,0,0,0
ENSG00000187554,1,4,5,1,1,4
ENSG00000187555,2891,7281,2077,2997,3538,1922
ENSG00000187556,0,0,0,0,0,0
ENSG00000187559,0,0,0,0,0,0
ENSG00000187566,4,10,6,33,1,7
ENSG00000187569,0,0,1,0,0,0
ENSG00000187581,0,0,0,0,0,0
ENSG00000187583,0,0,1,2,0,2
ENSG00000187589,0,0,0,0,0,0
ENSG00000187595,27,4,3,1,0,6
ENSG00000187600,0,0,0,0,0,0
ENSG00000187601,158,77,35,136,84,51
ENSG00000187605,879,1639,408,974,1705,577
ENSG00000187607,58,72,20,42,97,24
ENSG00000187608,31,10,13,68,163,33
ENSG00000187609,9,37,29,46,37,23
ENSG00000187612,0,0,0,0,0,0
ENSG00000187616,0,0,0,0,0,0
ENSG00000187621,733,1115,136,525,574,202
ENSG00000187624,0,5,3,0,22,13
ENSG00000187626,61,177,54,107,305,49
ENSG00000187627,0,11,4,0,0,1
ENSG00000187630,14,25,1,10,10,2
ENSG00000187634,0,1,0,2,0,0
ENSG00000187642,0,0,0,0,0,0
ENSG00000187650,67,71,16,71,96,45
ENSG00000187653,19,6,0,6,26,4
ENSG00000187657,0,0,0,0,0,0
ENSG00000187658,0,0,0,2,0,2
ENSG00000187664,0,0,0,0,0,0
ENSG00000187672,0,6,0,11,0,0
ENSG00000187676,131,153,47,57,26,28
ENSG00000187678,0,6,0,3,0,1
ENSG00000187682,0,0,0,0,0,0
ENSG00000187686,6,0,0,0,0,0
ENSG00000187688,192,250,39,281,942,172
ENSG00000187689,0,0,0,0,0,0
ENSG00000187690,1,2,1,2,0,0
ENSG00000187699,247,174,69,85,551,20
ENSG00000187701,1,0,0,0,0,0
ENSG00000187713,74,168,45,147,163,63
ENSG00000187714,0,0,0,0,0,0
ENSG00000187715,1,0,0,0,0,0
ENSG00000187720,0,0,0,13,0,3
ENSG00000187721,0,0,0,2,0,0
ENSG00000187726,43,62,17,46,246,40
ENSG00000187730,0,0,0,0,0,0
ENSG00000187733,0,0,0,0,0,0
ENSG00000187735,484,716,203,431,1018,261
ENSG00000187736,147,94,31,114,274,38
ENSG00000187741,55,133,16,78,60,62
ENSG00000187742,2472,3130,1084,1634,3552,1191
ENSG00000187747,0,2,0,1,2,11
ENSG00000187753,8,2,0,0,2,5
ENSG00000187754,0,0,0,1,0,0
ENSG00000187758,0,0,0,3,0,0
ENSG00000187762,35,2,2,0,0,0
ENSG00000187763,0,0,0,1,0,0
ENSG00000187764,776,1654,527,982,3293,915
ENSG00000187766,0,0,0,0,0,0
ENSG00000187772,0,2,0,0,0,0
ENSG00000187773,0,0,2,15,0,0
ENSG00000187775,15,37,3,31,100,16
ENSG00000187778,123,468,61,168,415,113
ENSG00000187783,0,6,5,26,49,1
ENSG00000187790,273,307,219,295,828,94
ENSG00000187791,0,0,0,5,0,0
ENSG00000187792,163,227,59,160,491,113
ENSG00000187796,16,15,2,3,24,3
ENSG00000187800,0,0,0,3,0,1
ENSG00000187801,1,56,3,58,120,9
ENSG00000187806,0,0,0,0,0,1
ENSG00000187808,34,11,2,24,20,12
ENSG00000187812,0,0,0,0,0,0
ENSG00000187815,70,150,35,102,266,35
ENSG00000187821,0,0,0,0,0,0
ENSG00000187823,0,0,0,10,1,1
ENSG00000187824,297,571,199,335,150,136
ENSG00000187833,0,0,0,0,0,3
ENSG00000187837,299,368,119,894,819,216
ENSG00000187838,0,4,1,3,8,1
ENSG00000187840,25,43,6,20,1,7
ENSG00000187847,0,1,0,0,1,0
ENSG00000187848,0,0,0,0,0,0
ENSG00000187855,0,0,0,0,0,0
ENSG00000187857,1,7,0,3,1,0
ENSG00000187860,32,22,8,4,3,15
ENSG00000187862,272,294,22,106,235,53
ENSG00000187866,463,349,155,360,421,131
ENSG00000187867,0,4,1,23,0,1
ENSG00000187870,1,0,0,3,3,0
ENSG00000187871,0,0,0,1,0,0
ENSG00000187889,0,0,0,4,0,0
ENSG00000187893,0,4,1,0,0,2
ENSG00000187900,0,0,0,0,0,0
ENSG00000187902,0,1,0,0,0,0
ENSG00000187904,43,5,3,6,4,2
ENSG00000187905,0,0,0,1,0,0
ENSG00000187908,0,1,0,1,0,1
ENSG00000187912,1462,1208,476,1182,2182,544
ENSG00000187918,6,0,0,0,61,0
ENSG00000187922,3,0,2,3,0,3
ENSG00000187942,0,0,0,1,41,0
ENSG00000187944,0,0,0,4,1,0
ENSG00000187950,10,9,0,10,5,6
ENSG00000187951,0,0,2,0,0,0
ENSG00000187952,0,0,0,0,0,0
ENSG00000187953,176,126,37,60,133,60
ENSG00000187954,38,101,15,55,74,29
ENSG00000187955,0,1,0,9,0,0
ENSG00000187957,0,0,0,0,0,0
ENSG00000187959,0,0,0,1,0,0
ENSG00000187961,10,55,7,23,46,16
ENSG00000187969,0,0,0,0,0,0
ENSG00000187979,0,0,0,0,0,0
ENSG00000187980,1,0,0,0,3,1
ENSG00000187984,25,12,8,18,35,7
ENSG00000187987,0,16,3,17,16,13
ENSG00000187988,0,0,0,1,0,0
ENSG00000187994,122,84,39,134,150,70
ENSG00000187997,2,3,4,6,0,3
ENSG00000187999,0,0,1,0,0,2
ENSG00000188000,0,1,22,9,0,1
ENSG00000188001,1,3,0,5,0,1
ENSG00000188002,66,278,129,149,111,51
ENSG00000188004,0,0,0,0,0,0
ENSG00000188010,7,18,9,10,2,13
ENSG00000188011,0,1,0,2,22,4
ENSG00000188013,0,0,0,0,0,0
ENSG00000188015,0,3,0,3,0,0
ENSG00000188021,838,774,249,441,2491,311
ENSG00000188026,39,93,29,26,32,24
ENSG00000188029,0,0,0,0,0,0
ENSG00000188032,0,0,0,0,0,0
ENSG00000188033,145,251,44,210,295,85
ENSG00000188037,0,0,0,0,0,3
ENSG00000188038,0,0,0,0,2,0
ENSG00000188039,0,0,1,7,0,0
ENSG00000188042,1267,949,561,748,1901,814
ENSG00000188050,0,0,0,1,0,0
ENSG00000188051,0,2,0,0,2,0
ENSG00000188056,0,50,2,105,424,19
ENSG00000188060,0,2,0,7,0,0
ENSG00000188064,0,3,0,0,19,0
ENSG00000188070,35,121,22,76,113,55
ENSG00000188076,0,0,0,0,0,0
ENSG00000188078,0,0,0,0,0,0
ENSG00000188086,0,0,0,1,0,2
ENSG00000188089,1,4,0,0,1,0
ENSG00000188092,49,99,46,91,332,41
ENSG00000188095,0,0,0,0,60,0
ENSG00000188100,0,0,0,0,0,0
ENSG00000188101,0,0,0,0,0,0
ENSG00000188107,70,55,36,33,60,30
ENSG00000188112,2,5,7,6,74,16
ENSG00000188120,0,0,0,0,0,0
ENSG00000188124,0,3,0,0,0,0
ENSG00000188130,0,1,1,3,2,3
ENSG00000188133,1,0,0,1,0,0
ENSG00000188152,2,5,3,2,34,1
ENSG00000188153,0,11,0,10,0,0
ENSG00000188155,0,0,0,0,0,0
ENSG00000188157,23,16,5,17,193,14
ENSG00000188158,3,7,2,19,1,4
ENSG00000188162,1,2,0,3,1,0
ENSG00000188163,1,0,0,2,0,1
ENSG00000188167,98,346,83,246,485,146
ENSG00000188171,462,467,131,619,784,218
ENSG00000188175,0,0,0,7,1,0
ENSG00000188176,0,0,0,0,0,0
ENSG00000188177,910,1405,635,965,3434,464
ENSG00000188185,142,250,41,157,767,98
ENSG00000188186,722,501,178,505,163,252
ENSG00000188191,6,25,0,10,2,8
ENSG00000188199,0,0,0,0,1,1
ENSG00000188211,10,16,11,3,0,18
ENSG00000188215,39,51,22,70,121,44
ENSG00000188219,2,0,0,0,0,0
ENSG00000188223,0,0,0,0,0,0
ENSG00000188227,201,279,79,320,413,90
ENSG00000188229,194,111,39,65,318,92
ENSG00000188234,12,33,13,7,84,16
ENSG00000188242,4,3,0,0,0,3
ENSG00000188243,791,371,399,334,196,181
ENSG00000188257,0,1,0,0,0,0
ENSG00000188263,0,0,0,0,0,0
ENSG00000188266,1,0,1,9,1,3
ENSG00000188269,0,1,0,0,0,0
ENSG00000188277,55,85,17,19,181,11
ENSG00000188280,0,0,0,0,0,0
ENSG00000188282,0,2,0,34,260,20
ENSG00000188283,401,446,173,416,301,273
ENSG00000188290,0,0,1,0,1,1
ENSG00000188293,0,0,0,0,0,0
ENSG00000188295,411,313,115,101,66,155
ENSG00000188305,12,10,2,8,40,18
ENSG00000188306,0,0,0,0,0,2
ENSG00000188312,119,62,30,110,103,12
ENSG00000188313,382,282,105,840,3231,377
ENSG00000188314,0,0,0,0,0,0
ENSG00000188315,60,85,32,110,73,55
ENSG00000188316,0,3,0,1,0,0
ENSG00000188321,578,575,168,411,788,168
ENSG00000188322,38,9,8,18,583,18
ENSG00000188324,0,0,0,0,0,0
ENSG00000188334,0,0,0,5,0,0
ENSG00000188338,1,0,0,0,0,1
ENSG00000188340,0,1,0,3,0,0
ENSG00000188342,517,601,182,408,1147,272
ENSG00000188343,38,49,28,50,212,10
ENSG00000188352,339,209,30,110,123,74
ENSG00000188365,0,0,0,1,0,0
ENSG00000188368,1,0,0,1,0,0
ENSG00000188372,4,0,1,4,4,4
ENSG00000188373,0,0,0,0,0,0
ENSG00000188375,1,42,16,4,96,4
ENSG00000188379,0,0,0,0,0,0
ENSG00000188383,0,0,0,1,0,0
ENSG00000188385,3,31,2,5,0,6
ENSG00000188386,0,1,0,0,0,6
ENSG00000188388,0,0,0,0,0,0
ENSG00000188389,0,2,1,0,94,0
ENSG00000188393,0,0,0,0,0,0
ENSG00000188394,12,21,13,9,9,16
ENSG00000188396,1,5,3,1,15,1
ENSG00000188399,0,0,0,0,0,0
ENSG00000188403,6,2,1,0,8,3
ENSG00000188404,10158,16417,2333,13491,11378,7202
ENSG00000188408,0,0,0,0,0,0
ENSG00000188419,755,711,173,412,1444,371
ENSG00000188425,0,0,0,0,0,0
ENSG00000188428,300,250,52,230,265,131
ENSG00000188438,0,0,0,0,0,0
ENSG00000188439,0,0,0,0,0,0
ENSG00000188451,32,28,5,13,48,9
ENSG00000188452,40,38,9,63,174,12
ENSG00000188459,4,18,3,5,33,9
ENSG00000188460,1,2,3,1,1,1
ENSG00000188467,0,9,3,10,0,0
ENSG00000188483,0,0,0,0,0,0
ENSG00000188486,63,36,8,49,10,26
ENSG00000188487,0,1,0,5,0,0
ENSG00000188488,0,2,0,1,0,0
ENSG00000188493,126,133,43,135,379,84
ENSG00000188501,6,8,4,2,2,1
ENSG00000188505,0,0,0,2,6,0
ENSG00000188508,0,0,0,0,0,0
ENSG00000188511,96,167,45,58,238,130
ENSG00000188512,3,0,0,1,1,1
ENSG00000188517,0,3,0,8,1,0
ENSG00000188522,4,27,7,20,44,8
ENSG00000188523,0,2,0,0,2,0
ENSG00000188525,0,1,2,0,0,0
ENSG00000188529,3319,6111,2535,2551,3998,1805
ENSG00000188536,0,0,9,0,0,3
ENSG00000188542,217,336,64,175,309,146
ENSG00000188549,17,20,3,11,12,6
ENSG00000188554,797,1213,360,866,2764,509
ENSG00000188558,12,16,5,14,0,3
ENSG00000188559,943,1138,301,589,1973,317
ENSG00000188566,22,88,18,57,35,22
ENSG00000188573,0,0,0,0,0,1
ENSG00000188580,0,1,0,15,0,1
ENSG00000188581,0,0,0,0,0,0
ENSG00000188582,1,3,4,10,1,7
ENSG00000188585,11,43,2,36,29,5
ENSG00000188596,0,10,3,41,11,2
ENSG00000188599,8,32,14,8,16,10
ENSG00000188603,5,54,10,46,10,27
ENSG00000188610,0,0,0,0,0,2
ENSG00000188611,3,4,0,3,0,1
ENSG00000188612,370,600,266,320,494,237
ENSG00000188613,5,63,20,30,82,11
ENSG00000188620,1,0,0,0,0,0
ENSG00000188624,0,0,0,0,0,0
ENSG00000188626,0,5,1,1,12,3
ENSG00000188629,0,0,0,2,0,0
ENSG00000188636,6,105,13,40,4,10
ENSG00000188641,733,306,135,255,863,127
ENSG00000188643,0,0,0,1,0,0
ENSG00000188646,0,0,0,0,0,0
ENSG00000188647,1311,1956,1060,1395,3308,576
ENSG00000188649,72,39,42,75,155,18
ENSG00000188655,0,0,0,0,0,0
ENSG00000188656,0,0,0,0,0,0
ENSG00000188659,30,103,87,101,163,34
ENSG00000188660,0,0,0,0,0,0
ENSG00000188662,9,1,0,2,1,0
ENSG00000188668,0,0,0,0,0,0
ENSG00000188672,0,2,0,16,3,6
ENSG00000188674,0,0,0,0,0,0
ENSG00000188676,4,0,0,1,0,1
ENSG00000188677,150,173,43,60,78,105
ENSG00000188681,3,11,2,2,31,4
ENSG00000188687,142,65,42,44,104,29
ENSG00000188690,257,305,78,286,388,95
ENSG00000188691,0,0,0,0,0,0
ENSG00000188693,48,2,0,2,0,0
ENSG00000188694,0,0,0,0,0,0
ENSG00000188706,14,126,21,77,357,48
ENSG00000188707,85,93,16,76,79,36
ENSG00000188710,0,3,0,1,54,0
ENSG00000188712,3,0,1,4,14,0
ENSG00000188716,0,1,0,0,0,0
ENSG00000188725,97,330,152,193,161,171
ENSG00000188729,0,0,0,0,0,0
ENSG00000188730,0,8,0,13,0,0
ENSG00000188732,117,225,72,137,58,74
ENSG00000188735,34,71,9,39,21,30
ENSG00000188738,56,18,15,22,10,6
ENSG00000188739,126,209,76,112,171,63
ENSG00000188747,10,45,3,17,34,6
ENSG00000188755,0,0,0,0,0,0
ENSG00000188760,0,0,0,1,0,1
ENSG00000188761,47,33,50,47,10,13
ENSG00000188763,0,0,0,0,0,0
ENSG00000188765,23,8,5,7,37,6
ENSG00000188766,0,9,3,11,9,17
ENSG00000188770,0,0,0,0,0,0
ENSG00000188771,63,15,33,37,11,26
ENSG00000188778,0,5,0,0,0,0
ENSG00000188779,6,19,1,4,1,1
ENSG00000188782,1,0,0,0,0,0
ENSG00000188783,2,0,0,3,0,0
ENSG00000188784,0,0,0,0,0,0
ENSG00000188785,654,2002,504,887,486,533
ENSG00000188786,336,887,165,634,1651,315
ENSG00000188800,0,0,4,0,1,0
ENSG00000188801,3,1,0,0,0,0
ENSG00000188803,0,0,0,1,0,0
ENSG00000188807,21,103,9,21,100,11
ENSG00000188811,528,712,239,519,850,244
ENSG00000188816,0,0,0,1,0,0
ENSG00000188817,1,0,0,0,1,0
ENSG00000188818,20,15,0,2,0,1
ENSG00000188820,40,64,34,87,2,24
ENSG00000188822,1324,1837,355,1057,1496,686
ENSG00000188825,117,180,46,163,187,53
ENSG00000188827,118,224,43,114,314,90
ENSG00000188828,40,13,1,2,0,2
ENSG00000188831,0,1,0,0,0,0
ENSG00000188833,0,0,0,0,0,0
ENSG00000188846,4689,3887,1262,3304,1682,2299
ENSG00000188848,515,755,221,454,1289,249
ENSG00000188850,0,0,2,3,0,1
ENSG00000188856,0,4,0,2,0,1
ENSG00000188859,0,7,0,6,0,4
ENSG00000188868,15,32,5,39,32,22
ENSG00000188869,5,7,1,6,11,3
ENSG00000188873,7,1,2,7,1,0
ENSG00000188877,0,0,0,0,0,0
ENSG00000188878,39,56,12,34,1,14
ENSG00000188883,0,0,0,0,0,1
ENSG00000188886,28,4,1,0,38,0
ENSG00000188895,1630,2533,1007,1774,4340,1045
ENSG00000188897,19,39,9,16,109,23
ENSG00000188906,2539,1399,667,1232,7783,980
ENSG00000188909,0,0,0,0,0,0
ENSG00000188910,2,1,0,0,0,0
ENSG00000188916,0,0,0,0,0,0
ENSG00000188917,535,547,119,273,744,227
ENSG00000188921,594,740,187,600,507,414
ENSG00000188931,21,21,4,40,78,4
ENSG00000188933,1,0,0,0,2,0
ENSG00000188937,0,0,0,0,0,0
ENSG00000188938,471,904,241,565,1141,354
ENSG00000188958,27,7,3,10,7,7
ENSG00000188959,112,12,10,4,6,5
ENSG00000188976,60,82,22,72,28,39
ENSG00000188981,9,11,7,3,3,3
ENSG00000188984,0,2,0,6,0,0
ENSG00000188985,0,2,0,0,3,1
ENSG00000188986,91,121,43,101,198,53
ENSG00000188991,3,0,0,6,0,0
ENSG00000188992,9,1,5,4,22,0
ENSG00000188993,52,4,0,8,4,4
ENSG00000188994,4486,3752,1487,2436,6905,1505
ENSG00000188996,1,11,1,0,1,5
ENSG00000188997,56,31,3,40,130,17
ENSG00000189001,0,0,0,1,0,0
ENSG00000189002,0,1,0,0,0,0
ENSG00000189007,438,559,153,385,272,222
ENSG00000189013,0,6,0,0,0,0
ENSG00000189014,10,2,0,0,0,0
ENSG00000189023,0,3,0,1,0,0
ENSG00000189030,0,0,0,0,0,0
ENSG00000189037,0,0,0,1,0,0
ENSG00000189042,178,317,78,225,369,85
ENSG00000189043,577,367,159,348,245,196
ENSG00000189045,3,1,5,2,1,1
ENSG00000189046,57,78,14,56,97,30
ENSG00000189050,198,260,136,237,331,79
ENSG00000189051,3,8,5,22,0,4
ENSG00000189052,0,0,0,0,0,0
ENSG00000189056,2,8,6,22,3,1
ENSG00000189057,123,828,2037,834,58,235
ENSG00000189058,0,2,0,1,1,0
ENSG00000189060,1,0,0,6,92,2
ENSG00000189064,0,0,0,0,0,0
ENSG00000189067,1258,1301,380,945,4677,868
ENSG00000189068,0,0,0,1,0,8
ENSG00000189077,51,76,11,50,21,51
ENSG00000189079,1143,1517,573,792,2945,675
ENSG00000189089,159,36,7,15,96,4
ENSG00000189090,0,0,0,0,0,0
ENSG00000189091,1540,2303,483,2126,4684,1266
ENSG00000189099,0,2,0,0,0,0
ENSG00000189108,0,0,0,0,1,0
ENSG00000189114,131,154,56,144,325,87
ENSG00000189120,0,0,0,1,0,0
ENSG00000189127,0,0,0,1,1,0
ENSG00000189129,3,5,7,3,0,5
ENSG00000189132,0,0,0,0,0,0
ENSG00000189134,3,0,7,1,0,1
ENSG00000189136,28,21,5,23,5,8
ENSG00000189139,0,1,0,0,0,0
ENSG00000189143,0,5,1,4,0,0
ENSG00000189144,110,133,47,147,96,62
ENSG00000189145,1,2,1,0,0,0
ENSG00000189149,4,1,1,10,1,18
ENSG00000189152,2,1,0,4,5,2
ENSG00000189157,0,1,2,3,0,0
ENSG00000189159,204,115,30,184,308,126
ENSG00000189164,231,231,61,203,277,112
ENSG00000189166,0,0,0,0,0,0
ENSG00000189167,3,3,0,5,0,0
ENSG00000189169,0,0,0,0,0,0
ENSG00000189171,14,34,11,24,49,15
ENSG00000189180,1418,1668,1083,1579,3231,849
ENSG00000189181,0,0,0,0,0,0
ENSG00000189182,0,0,0,1,0,0
ENSG00000189184,0,0,0,0,0,0
ENSG00000189186,0,1,0,1,0,0
ENSG00000189190,116,654,173,346,297,205
ENSG00000189195,35,44,12,14,82,18
ENSG00000189196,0,1,0,4,0,1
ENSG00000189212,0,5,0,3,0,0
ENSG00000189221,0,2,0,1,0,1
ENSG00000189223,262,459,74,40,340,126
ENSG00000189227,22,13,22,25,10,13
ENSG00000189229,0,5,0,11,0,0
ENSG00000189233,96,16,14,22,13,7
ENSG00000189238,33,9,4,1,29,3
ENSG00000189241,2327,3166,820,1625,2216,1190
ENSG00000189252,0,0,0,0,0,0
ENSG00000189253,0,0,0,0,0,0
ENSG00000189266,675,907,572,861,682,368
ENSG00000189269,16,5,6,7,4,2
ENSG00000189275,0,0,0,0,0,0
ENSG00000189280,0,1,0,0,0,0
ENSG00000189283,45,70,10,30,141,17
ENSG00000189292,6,7,19,6,1,15
ENSG00000189295,0,0,0,0,5,0
ENSG00000189298,153,122,29,198,347,37
ENSG00000189299,0,0,0,4,0,0
ENSG00000189306,88,154,96,114,160,93
ENSG00000189308,367,564,197,429,1008,216
ENSG00000189316,0,5,0,0,0,0
ENSG00000189319,559,1250,228,660,873,500
ENSG00000189320,0,0,0,0,0,0
ENSG00000189325,0,6,1,8,0,0
ENSG00000189326,0,0,0,0,0,0
ENSG00000189332,1,0,0,0,6,0
ENSG00000189334,6,0,0,0,0,0
ENSG00000189337,0,1,2,0,7,0
ENSG00000189339,315,793,119,438,1508,310
ENSG00000189343,6,10,6,3,1,1
ENSG00000189348,0,0,0,3,0,0
ENSG00000189350,0,0,0,3,2,1
ENSG00000189357,0,0,0,0,0,0
ENSG00000189362,601,632,274,326,952,235
ENSG00000189366,1,1,0,2,0,3
ENSG00000189367,0,0,1,0,0,0
ENSG00000189369,120,186,52,139,225,97
ENSG00000189372,0,0,0,0,0,0
ENSG00000189375,0,0,0,0,0,0
ENSG00000189376,106,104,61,45,9,45
ENSG00000189377,2,2,2,8,4,1
ENSG00000189398,0,2,0,0,1,0
ENSG00000189401,0,0,0,0,0,0
ENSG00000189403,1446,2807,1358,1237,1943,647
ENSG00000189409,0,0,0,0,0,0
ENSG00000189410,0,1,0,2,0,0
ENSG00000189419,0,0,0,3,0,1
ENSG00000189420,3,12,0,2,144,2
ENSG00000189423,0,9,0,4,5,1
ENSG00000189430,0,0,0,1,0,0
ENSG00000189431,0,0,0,0,0,0
ENSG00000189433,0,0,0,0,0,0
ENSG00000194297,0,0,0,0,0,0
ENSG00000194717,0,0,0,0,0,0
ENSG00000195024,0,0,0,0,0,0
ENSG00000195401,0,1,0,0,31,0
