genes,aHCnaiveB_S1R1,aHCnaiveB_S1R3,aHCnaiveB_S1R4,aSLEnaiveB_S1R1,aSLEnaiveB_S1R2,aSLEnaiveB_S1R3,aSLEnaiveB_S1R4
ENSG00000179994,1,11,36,1,1,0,1
ENSG00000179997,0,9,7,0,0,1,0
ENSG00000180008,33,171,150,2372,2224,1799,2475
ENSG00000180011,189,133,125,1817,1915,1444,1654
ENSG00000180015,1,24,23,51,27,38,52
ENSG00000180016,0,13,21,0,0,0,0
ENSG00000180019,0,4,3,2,7,9,1
ENSG00000180035,36,104,113,610,681,479,597
ENSG00000180042,0,5,16,0,0,0,0
ENSG00000180043,0,26,45,0,0,0,0
ENSG00000180044,0,43,40,0,0,0,0
ENSG00000180053,0,45,44,0,0,0,0
ENSG00000180061,1,61,52,0,1,0,0
ENSG00000180066,0,20,45,30,20,27,36
ENSG00000180068,0,12,5,0,0,0,0
ENSG00000180071,1,32,46,0,0,0,0
ENSG00000180083,0,41,40,0,0,0,0
ENSG00000180089,12,7,21,113,112,114,147
ENSG00000180090,4,13,9,0,1,2,0
ENSG00000180096,338,60,138,5299,4565,4441,6059
ENSG00000180098,193,120,150,862,882,824,1096
ENSG00000180104,284,243,375,3341,2823,2833,3290
ENSG00000180105,0,29,15,0,0,1,0
ENSG00000180113,2,186,118,2,0,25,2
ENSG00000180116,2,32,12,1,0,0,0
ENSG00000180138,2,57,21,1,1,2,0
ENSG00000180139,5,5,16,30,25,28,44
ENSG00000180150,0,4,3,0,0,0,0
ENSG00000180152,1,5,0,0,0,0,0
ENSG00000180155,0,93,186,2,5,4,1
ENSG00000180172,5,13,14,4,11,22,30
ENSG00000180176,1,60,173,0,0,0,0
ENSG00000180178,1,65,36,0,0,0,0
ENSG00000180182,542,215,203,3376,3349,2147,4169
ENSG00000180185,34,85,51,396,379,211,490
ENSG00000180189,8,13,3,14,11,21,23
ENSG00000180190,1,56,29,15,16,17,24
ENSG00000180198,50,126,263,635,1036,766,1090
ENSG00000180205,0,8,2,0,0,0,0
ENSG00000180209,2,44,65,22,20,3,18
ENSG00000180210,3,78,22,2,0,6,0
ENSG00000180211,13,2,2,74,84,150,237
ENSG00000180219,0,9,4,0,0,1,0
ENSG00000180221,2,10,8,7,5,4,3
ENSG00000180228,152,194,243,1075,1197,1251,1303
ENSG00000180229,3,36,94,528,391,703,270
ENSG00000180230,0,8,6,0,0,1,0
ENSG00000180233,109,31,42,1667,1302,764,1142
ENSG00000180245,0,39,30,4,17,10,9
ENSG00000180251,0,27,32,0,0,0,0
ENSG00000180257,27,134,114,586,477,310,440
ENSG00000180259,1,24,20,0,0,0,0
ENSG00000180263,9,126,177,50,27,10,42
ENSG00000180264,4,158,191,0,0,0,0
ENSG00000180269,1,21,47,0,0,0,0
ENSG00000180279,1,36,34,9,3,12,6
ENSG00000180284,0,5,3,4,0,0,2
ENSG00000180287,6,27,29,1,23,51,49
ENSG00000180304,216,95,145,2645,3264,1958,3438
ENSG00000180305,0,13,11,0,0,1,0
ENSG00000180316,2,39,83,8,3,4,17
ENSG00000180318,1,13,7,0,0,0,0
ENSG00000180329,43,44,24,442,381,474,655
ENSG00000180332,2,11,14,3,1,1,3
ENSG00000180336,12,76,117,39,36,58,66
ENSG00000180340,2,104,120,54,63,19,82
ENSG00000180346,29,112,142,296,339,253,281
ENSG00000180347,3,57,54,0,0,0,0
ENSG00000180353,1227,28,182,21351,21978,14840,26885
ENSG00000180354,55,47,102,1079,1065,1442,1585
ENSG00000180357,325,131,131,2683,1822,1266,2209
ENSG00000180370,1395,80,125,8275,8461,5654,8607
ENSG00000180376,72,104,98,1056,888,1133,1239
ENSG00000180383,0,54,54,0,0,0,0
ENSG00000180385,83,32,53,380,467,689,657
ENSG00000180386,0,8,3,0,0,0,0
ENSG00000180389,7,11,4,9,14,27,42
ENSG00000180398,332,102,188,3667,3850,2609,4337
ENSG00000180409,0,7,8,0,0,0,0
ENSG00000180422,7,98,144,60,26,62,33
ENSG00000180423,62,116,104,393,431,448,336
ENSG00000180424,0,2,5,0,0,0,0
ENSG00000180425,33,40,23,215,284,192,329
ENSG00000180432,3,52,41,0,1,1,2
ENSG00000180433,0,6,1,0,0,0,0
ENSG00000180437,0,2,0,0,0,0,0
ENSG00000180438,0,97,43,0,0,0,0
ENSG00000180440,1,32,21,0,0,0,0
ENSG00000180447,1,50,87,1,0,0,0
ENSG00000180448,449,136,348,36100,36652,33710,54068
ENSG00000180458,4,27,26,29,20,6,19
ENSG00000180475,0,10,7,0,0,0,0
ENSG00000180479,20,85,98,474,370,283,388
ENSG00000180481,0,11,10,8,18,5,19
ENSG00000180483,1,3,11,0,0,0,0
ENSG00000180488,192,146,230,1446,1699,1226,1622
ENSG00000180509,1,30,32,2,1,1,3
ENSG00000180525,5,164,149,0,0,0,0
ENSG00000180530,87,34,39,4684,4911,3448,5023
ENSG00000180532,5,81,29,1,0,1,0
ENSG00000180535,2,42,55,18,52,18,127
ENSG00000180537,2,21,29,1,2,2,7
ENSG00000180539,7,113,230,197,119,13,136
ENSG00000180543,228,113,100,3322,3501,2192,2307
ENSG00000180549,0,20,31,94,79,1,27
ENSG00000180573,279,11,18,1049,1512,261,1031
ENSG00000180574,10,23,13,208,88,127,157
ENSG00000180581,5,7,7,19,20,18,44
ENSG00000180592,3,138,210,3,0,0,1
ENSG00000180596,12,5,5,51,55,29,72
ENSG00000180610,0,11,13,10,9,12,17
ENSG00000180611,0,36,34,0,0,0,2
ENSG00000180613,2,40,32,2,0,0,1
ENSG00000180616,9,114,159,1,5,0,1
ENSG00000180626,22,178,140,346,408,232,350
ENSG00000180628,382,66,112,10143,11353,7372,11062
ENSG00000180638,3,207,194,2,2,4,2
ENSG00000180644,1,62,41,0,0,0,0
ENSG00000180658,1,7,2,0,1,0,0
ENSG00000180660,0,38,32,0,0,0,1
ENSG00000180662,5,13,1,1,3,9,18
ENSG00000180663,0,18,21,0,0,0,0
ENSG00000180667,63,110,78,2765,2215,3801,4013
ENSG00000180673,2,43,61,12,6,7,6
ENSG00000180694,407,74,85,1083,1696,905,1290
ENSG00000180697,1,53,70,0,0,0,0
ENSG00000180708,0,4,9,0,0,0,0
ENSG00000180712,5,11,12,7,9,17,9
ENSG00000180714,2,4,14,0,0,0,0
ENSG00000180720,3,71,145,350,277,151,323
ENSG00000180723,0,3,4,0,0,0,0
ENSG00000180730,3,75,97,5,8,0,3
ENSG00000180739,6,70,128,0,0,0,0
ENSG00000180745,0,15,32,0,0,0,0
ENSG00000180747,89,12,5,688,500,560,675
ENSG00000180758,45,96,40,301,437,346,416
ENSG00000180764,11,59,44,28,25,50,46
ENSG00000180767,0,61,58,0,0,0,0
ENSG00000180769,8,52,57,0,0,0,1
ENSG00000180770,0,14,4,0,0,0,0
ENSG00000180772,0,27,4,0,0,0,0
ENSG00000180773,71,66,37,1071,1233,942,1372
ENSG00000180776,249,49,50,5640,5902,3652,6643
ENSG00000180777,3,101,95,5,3,0,6
ENSG00000180785,0,10,14,0,0,0,0
ENSG00000180787,152,119,185,1121,1324,1113,1428
ENSG00000180801,0,56,19,0,0,0,0
ENSG00000180803,0,0,0,0,0,0,0
ENSG00000180806,1,21,43,0,0,0,0
ENSG00000180815,3,92,48,6,5,4,17
ENSG00000180817,274,49,112,1104,1730,1591,1809
ENSG00000180818,0,38,55,0,0,0,0
ENSG00000180822,75,316,314,494,962,564,1023
ENSG00000180828,1,57,41,0,0,0,0
ENSG00000180834,1,26,29,16,15,20,29
ENSG00000180846,0,47,64,33,41,52,60
ENSG00000180855,12,42,21,53,85,61,125
ENSG00000180861,0,28,23,0,0,0,0
ENSG00000180867,48,44,68,239,366,306,429
ENSG00000180869,0,66,52,1,0,0,1
ENSG00000180871,4,45,6,25,3,0,0
ENSG00000180872,0,10,6,0,0,0,0
ENSG00000180875,0,132,58,0,0,1,0
ENSG00000180878,0,6,7,3,0,2,1
ENSG00000180879,195,127,292,3578,4555,3745,5900
ENSG00000180881,2,79,48,232,201,252,210
ENSG00000180884,156,104,160,766,855,627,593
ENSG00000180891,7,139,212,0,0,0,0
ENSG00000180900,17,235,440,4086,4038,4037,5868
ENSG00000180901,240,125,161,2158,1953,1559,2689
ENSG00000180902,27,102,143,1654,1591,2364,2123
ENSG00000180909,0,2,0,1,0,0,0
ENSG00000180910,0,0,0,0,0,0,0
ENSG00000180913,0,18,3,0,0,0,0
ENSG00000180914,5,76,58,8,56,3,10
ENSG00000180917,301,92,173,1996,1919,1041,2193
ENSG00000180919,0,11,0,0,0,0,0
ENSG00000180921,10,158,229,183,76,229,117
ENSG00000180926,0,26,20,0,0,0,0
ENSG00000180929,1,68,106,1,2,7,1
ENSG00000180934,3,63,35,0,0,0,0
ENSG00000180938,21,19,21,108,114,94,117
ENSG00000180953,6,47,37,19,38,64,99
ENSG00000180957,312,71,67,1827,2201,1400,2243
ENSG00000180964,81,7,11,393,413,300,437
ENSG00000180974,0,17,7,0,0,0,0
ENSG00000180979,80,89,109,973,787,984,1240
ENSG00000180988,0,5,4,5,0,1,13
ENSG00000180992,75,22,45,742,1410,808,1252
ENSG00000180998,5,20,26,12,3,3,19
ENSG00000180999,0,24,20,0,1,1,3
ENSG00000181001,0,4,14,5,0,1,6
ENSG00000181004,8,27,24,56,72,75,78
ENSG00000181007,122,130,205,763,942,667,879
ENSG00000181009,0,1,0,23,2,9,2
ENSG00000181016,1,4,5,5,6,1,3
ENSG00000181017,0,7,0,285,32,39,31
ENSG00000181019,8,44,15,32,56,14,59
ENSG00000181023,0,11,4,46,17,18,33
ENSG00000181026,338,79,215,4051,6427,3992,6742
ENSG00000181027,61,111,180,1564,1005,1192,1805
ENSG00000181029,21,137,169,90,157,238,342
ENSG00000181031,16,193,188,128,32,74,208
ENSG00000181035,185,97,159,3788,3440,2990,6158
ENSG00000181036,4,24,52,1,2,1,1
ENSG00000181038,177,65,79,1183,1130,939,1504
ENSG00000181045,10,143,170,485,325,297,804
ENSG00000181061,81,32,42,549,592,247,557
ENSG00000181072,1,35,84,0,0,0,0
ENSG00000181074,22,3,6,1322,110,122,110
ENSG00000181085,1,58,80,6,0,11,3
ENSG00000181090,460,668,662,5089,6060,9055,6892
ENSG00000181092,0,17,19,0,0,0,1
ENSG00000181097,2,84,95,53,54,93,36
ENSG00000181101,0,41,31,0,1,4,11
ENSG00000181104,4,46,35,0,3,0,3
ENSG00000181109,5,5,7,46,29,19,25
ENSG00000181123,0,40,29,0,0,0,0
ENSG00000181126,2,97,95,86,1392,46,14
ENSG00000181135,17,246,261,1036,743,979,1308
ENSG00000181143,3,156,189,0,0,1,2
ENSG00000181163,1101,354,342,22033,27988,24255,32042
ENSG00000181171,2,21,11,0,0,0,0
ENSG00000181191,178,102,108,1200,1442,1091,1459
ENSG00000181192,462,105,122,4264,3885,2252,3607
ENSG00000181195,4,133,75,1,0,12,6
ENSG00000181201,0,10,7,1,1,0,0
ENSG00000181211,0,39,47,0,0,0,0
ENSG00000181214,0,10,3,0,0,0,0
ENSG00000181215,9,289,291,0,0,0,0
ENSG00000181218,8,60,55,247,265,380,82
ENSG00000181220,140,111,172,1587,1376,1590,2066
ENSG00000181222,2036,169,135,9701,8293,9892,12470
ENSG00000181227,0,0,0,0,0,0,0
ENSG00000181234,0,88,34,0,0,0,0
ENSG00000181240,2,13,41,4,0,5,3
ENSG00000181260,0,11,8,1,0,1,0
ENSG00000181264,3,118,122,2,1,1,0
ENSG00000181273,0,4,4,0,0,0,0
ENSG00000181274,91,28,104,1049,666,467,970
ENSG00000181282,0,2,2,0,0,0,0
ENSG00000181284,3,42,45,219,203,96,186
ENSG00000181291,1,127,216,0,0,3,2
ENSG00000181296,0,0,1,0,0,0,0
ENSG00000181315,5,18,23,131,162,90,185
ENSG00000181322,10,45,68,53,39,68,71
ENSG00000181323,0,22,34,0,0,0,0
ENSG00000181325,0,6,1,0,0,0,0
ENSG00000181333,7,89,42,27,28,18,51
ENSG00000181350,29,79,58,78,33,126,77
ENSG00000181355,0,121,68,1,1,0,0
ENSG00000181358,0,22,1,0,0,0,2
ENSG00000181359,0,3,0,0,1,3,1
ENSG00000181371,0,10,16,0,0,0,0
ENSG00000181374,0,5,3,0,0,0,0
ENSG00000181378,12,307,269,2,2,1,0
ENSG00000181381,99,136,171,12657,5662,2644,4159
ENSG00000181392,6,114,110,52,38,74,61
ENSG00000181396,42,271,287,684,996,806,1011
ENSG00000181404,8,18,30,323,377,495,465
ENSG00000181408,0,39,65,0,1,1,6
ENSG00000181409,1,335,598,7,5,8,9
ENSG00000181418,0,42,54,12,9,8,16
ENSG00000181433,0,32,31,0,0,0,0
ENSG00000181444,2,75,122,15,14,52,22
ENSG00000181449,0,18,26,0,0,0,0
ENSG00000181450,33,33,35,1595,1413,1030,1457
ENSG00000181458,4,27,42,0,0,0,1
ENSG00000181467,347,142,238,1237,1368,850,1365
ENSG00000181472,140,8,47,1781,3100,1796,3044
ENSG00000181481,251,56,91,1090,2149,1155,2035
ENSG00000181499,0,2,10,0,0,0,0
ENSG00000181511,0,10,20,0,0,0,0
ENSG00000181513,38,46,115,922,1078,1168,1489
ENSG00000181514,0,4,17,1,0,0,2
ENSG00000181518,1,14,12,0,0,0,0
ENSG00000181523,63,184,235,2851,1722,2811,4830
ENSG00000181524,13,18,2,254,272,415,622
ENSG00000181541,0,10,7,0,1,3,0
ENSG00000181544,6,26,72,241,249,164,285
ENSG00000181552,0,3,7,0,0,0,0
ENSG00000181555,652,156,124,14104,14763,11394,16390
ENSG00000181562,1,11,9,0,0,1,4
ENSG00000181577,0,86,123,0,0,0,0
ENSG00000181585,0,77,78,0,1,0,2
ENSG00000181588,1,32,60,60,69,28,62
ENSG00000181609,0,2,12,0,0,0,0
ENSG00000181610,132,115,184,1007,1146,706,1355
ENSG00000181616,0,4,13,1,1,4,2
ENSG00000181617,0,1,5,0,0,0,0
ENSG00000181619,21,91,137,73,80,112,108
ENSG00000181625,1,3,2,2,1,1,0
ENSG00000181626,1,49,68,0,0,0,0
ENSG00000181631,0,11,13,0,1,0,3
ENSG00000181634,0,25,43,0,0,1,1
ENSG00000181638,37,146,217,297,276,264,332
ENSG00000181649,0,21,46,1,1,1,3
ENSG00000181652,10,144,171,80,52,66,85
ENSG00000181656,0,77,80,0,0,0,1
ENSG00000181666,251,133,116,1655,2012,1398,2400
ENSG00000181690,53,84,166,754,426,2268,719
ENSG00000181693,0,22,16,0,0,0,0
ENSG00000181698,0,2,0,0,0,0,0
ENSG00000181704,74,48,39,641,775,425,707
ENSG00000181705,0,1,0,0,0,0,0
ENSG00000181718,0,3,8,0,0,0,0
ENSG00000181722,136,212,145,552,479,555,609
ENSG00000181733,1,29,22,0,0,0,0
ENSG00000181741,1,2,7,1,1,2,3
ENSG00000181744,357,69,84,1582,1226,776,1704
ENSG00000181751,23,17,28,131,212,114,235
ENSG00000181752,0,9,19,0,0,0,0
ENSG00000181754,12,127,180,37,69,209,64
ENSG00000181761,0,11,8,0,0,0,0
ENSG00000181767,3,18,7,0,0,0,0
ENSG00000181773,6,50,102,157,143,137,217
ENSG00000181778,0,1,11,1,0,0,0
ENSG00000181780,0,5,0,0,0,0,0
ENSG00000181781,2,50,82,0,1,0,0
ENSG00000181785,0,47,12,1,0,0,0
ENSG00000181786,3,9,21,0,0,0,0
ENSG00000181788,585,20,100,2660,3560,1683,2976
ENSG00000181789,530,149,155,2753,2245,2063,3047
ENSG00000181790,2,204,276,451,147,793,227
ENSG00000181798,2,18,34,8,4,17,9
ENSG00000181800,112,41,47,285,171,472,292
ENSG00000181803,0,9,5,3,0,0,0
ENSG00000181804,49,22,27,1133,651,932,979
ENSG00000181817,440,86,165,2843,3468,1751,2772
ENSG00000181819,0,0,0,2,2,2,1
ENSG00000181826,4,47,19,45,24,21,207
ENSG00000181827,192,92,116,4737,3193,4475,4431
ENSG00000181830,65,84,92,774,652,560,710
ENSG00000181837,0,0,3,0,0,0,0
ENSG00000181847,8,34,24,28,38,55,61
ENSG00000181852,601,88,126,4677,5572,3151,5430
ENSG00000181856,0,118,115,0,0,1,1
ENSG00000181867,0,17,21,0,0,0,0
ENSG00000181873,47,231,342,938,845,966,1004
ENSG00000181885,7,32,49,14,46,52,68
ENSG00000181894,52,85,125,983,1285,1032,1380
ENSG00000181896,383,116,115,5379,4323,5564,6118
ENSG00000181903,0,10,4,0,0,0,0
ENSG00000181904,197,81,83,1725,2539,2652,3402
ENSG00000181908,2,51,15,19,34,2,17
ENSG00000181915,84,79,172,1457,1450,1387,1559
ENSG00000181924,94,24,22,696,761,567,848
ENSG00000181927,0,7,2,0,0,0,0
ENSG00000181929,14,54,28,56,45,59,83
ENSG00000181938,24,98,107,64,57,26,63
ENSG00000181939,0,1,7,0,0,0,0
ENSG00000181943,0,0,0,0,0,0,0
ENSG00000181950,1,7,7,0,0,0,0
ENSG00000181958,0,0,0,0,0,0,0
ENSG00000181961,0,1,0,0,0,0,0
ENSG00000181963,0,1,12,0,0,0,0
ENSG00000181965,1,33,29,0,0,0,0
ENSG00000181977,0,3,8,0,0,0,0
ENSG00000181982,3,36,118,0,0,0,0
ENSG00000181984,1,29,20,0,0,0,0
ENSG00000181991,53,71,9,377,536,267,567
ENSG00000181995,0,87,65,0,0,0,0
ENSG00000181997,0,2,0,0,0,0,0
ENSG00000182000,0,14,28,0,0,0,0
ENSG00000182004,123,13,20,2057,2730,2239,3444
ENSG00000182010,0,36,25,43,38,27,47
ENSG00000182013,3,65,121,0,12,0,8
ENSG00000182021,0,0,8,0,0,0,0
ENSG00000182022,281,173,97,1866,1892,1515,2441
ENSG00000182035,0,9,12,0,0,2,0
ENSG00000182040,1,65,89,0,0,0,0
ENSG00000182048,1,52,46,1,0,0,0
ENSG00000182050,7,46,76,1,0,0,0
ENSG00000182053,0,26,42,0,0,0,0
ENSG00000182054,180,104,107,2408,2718,1743,2480
ENSG00000182057,24,130,245,84,109,131,172
ENSG00000182070,1,70,116,0,0,0,0
ENSG00000182077,2,52,39,0,0,0,0
ENSG00000182083,0,32,9,0,0,0,0
ENSG00000182087,119,50,121,19460,15120,19192,25283
ENSG00000182093,49,111,123,170,200,136,213
ENSG00000182095,59,317,427,4764,4348,3970,6016
ENSG00000182103,0,54,56,2,0,2,0
ENSG00000182107,1,72,127,0,0,3,7
ENSG00000182108,488,78,137,604,759,439,842
ENSG00000182111,1,33,9,0,0,0,1
ENSG00000182117,126,17,34,898,1126,416,1083
ENSG00000182118,29,25,14,124,103,132,101
ENSG00000182132,2,27,52,0,0,0,0
ENSG00000182134,43,106,186,227,295,181,246
ENSG00000182141,86,58,30,2688,1886,1660,2881
ENSG00000182149,921,85,167,9270,6678,9494,10597
ENSG00000182150,115,399,526,2464,2083,1607,2422
ENSG00000182154,10,6,19,1588,1622,1342,1893
ENSG00000182156,1,82,93,9,11,21,10
ENSG00000182158,506,108,77,2161,3221,1698,3230
ENSG00000182162,998,110,205,21258,27300,15413,28823
ENSG00000182165,15,76,63,185,161,149,211
ENSG00000182168,3,70,36,0,0,0,0
ENSG00000182170,0,19,14,0,0,0,0
ENSG00000182173,42,195,308,787,1293,1255,1125
ENSG00000182175,2,319,405,1,1,0,0
ENSG00000182177,4,71,145,0,2,0,0
ENSG00000182179,1159,109,343,19354,13423,12533,19221
ENSG00000182180,306,85,57,2116,2415,1411,2164
ENSG00000182183,334,37,67,933,1037,749,1218
ENSG00000182185,29,89,50,345,423,258,326
ENSG00000182187,3,5,3,0,0,0,0
ENSG00000182195,63,77,64,452,657,641,689
ENSG00000182196,0,4,6,78,75,157,214
ENSG00000182197,74,58,99,173,299,221,560
ENSG00000182199,648,155,330,3648,6354,3401,6876
ENSG00000182208,33,151,216,2045,1991,1555,2344
ENSG00000182218,3,229,312,2,0,2,4
ENSG00000182220,477,54,211,3996,4174,2975,4764
ENSG00000182223,2,39,65,2,1,0,0
ENSG00000182224,0,4,0,5,1,1,7
ENSG00000182230,1,13,18,0,0,3,3
ENSG00000182240,421,108,139,1868,2264,1947,2410
ENSG00000182247,267,42,55,1183,1592,452,1289
ENSG00000182253,6,183,78,5,1,2,0
ENSG00000182255,0,88,62,0,0,0,0
ENSG00000182256,2,164,215,0,0,0,0
ENSG00000182257,6,39,102,74,113,80,72
ENSG00000182261,0,44,16,0,0,0,0
ENSG00000182263,4,34,48,0,0,0,0
ENSG00000182264,4,96,146,1,0,2,0
ENSG00000182271,0,17,9,0,0,0,0
ENSG00000182272,2,66,103,2,0,2,2
ENSG00000182287,276,70,68,1686,1783,1367,2364
ENSG00000182307,354,81,146,2298,2510,1838,2873
ENSG00000182308,3,43,64,24,24,21,29
ENSG00000182310,5,59,99,43,45,35,67
ENSG00000182315,0,8,8,3,4,4,0
ENSG00000182318,118,135,143,88,131,89,146
ENSG00000182324,15,52,82,75,48,71,148
ENSG00000182325,19,24,49,894,941,1205,1743
ENSG00000182326,2,66,55,41,21,32,44
ENSG00000182327,0,5,19,2,6,7,8
ENSG00000182329,8,62,114,3,3,1,0
ENSG00000182330,0,13,5,0,0,0,0
ENSG00000182333,0,8,8,1,0,0,0
ENSG00000182334,0,7,3,0,0,0,0
ENSG00000182346,0,4,10,0,0,0,0
ENSG00000182347,4,46,40,2,1,0,1
ENSG00000182348,0,93,28,0,0,0,0
ENSG00000182351,0,10,9,0,0,0,0
ENSG00000182352,0,17,13,2,0,0,0
ENSG00000182359,45,63,49,377,399,220,370
ENSG00000182362,37,66,67,734,640,419,695
ENSG00000182365,1,11,0,0,0,0,0
ENSG00000182366,0,124,37,6,5,0,7
ENSG00000182372,102,149,134,1082,1620,1153,1099
ENSG00000182376,1,84,151,3,6,15,8
ENSG00000182378,68,156,165,2710,1437,2033,833
ENSG00000182379,4,39,47,79,160,23,209
ENSG00000182383,2,4,6,1,1,8,5
ENSG00000182389,17,272,333,49,48,50,117
ENSG00000182393,0,33,32,1,0,1,2
ENSG00000182397,13,45,24,41,43,39,49
ENSG00000182400,19,15,11,231,252,212,258
ENSG00000182405,62,152,28,774,924,1050,1043
ENSG00000182415,0,0,0,0,0,0,0
ENSG00000182446,520,389,329,6626,7358,6060,8612
ENSG00000182447,0,3,0,0,0,0,0
ENSG00000182450,0,8,9,1,2,3,3
ENSG00000182459,0,14,8,0,0,0,0
ENSG00000182463,8,31,37,9,4,195,19
ENSG00000182472,16,75,128,242,382,562,454
ENSG00000182473,395,280,356,4202,4160,3435,5215
ENSG00000182477,0,14,8,0,0,0,0
ENSG00000182481,122,169,255,1386,957,675,848
ENSG00000182484,2,35,9,726,484,820,1038
ENSG00000182487,93,0,24,2658,2988,2188,3157
ENSG00000182489,45,27,33,245,193,357,460
ENSG00000182492,0,47,120,0,0,0,0
ENSG00000182504,38,89,95,964,1050,872,1062
ENSG00000182508,1,18,12,6,3,4,3
ENSG00000182511,19,174,261,1090,942,414,917
ENSG00000182512,164,28,49,779,1036,709,1217
ENSG00000182518,20,71,56,150,302,216,304
ENSG00000182521,2,68,58,0,1,2,0
ENSG00000182531,1,10,9,0,0,0,0
ENSG00000182533,5,10,22,3,2,0,0
ENSG00000182534,37,69,60,487,61,871,101
ENSG00000182541,453,197,332,2371,3303,3203,5007
ENSG00000182544,186,76,114,1111,1003,946,1234
ENSG00000182545,2,20,19,9,13,6,1
ENSG00000182551,235,119,189,1255,1517,1069,1802
ENSG00000182552,45,39,55,496,566,420,651
ENSG00000182557,1,76,55,57,41,65,40
ENSG00000182565,0,2,13,0,0,0,0
ENSG00000182566,0,3,4,0,0,0,0
ENSG00000182568,495,255,267,9967,6967,7129,10733
ENSG00000182574,10,16,6,10,8,9,24
ENSG00000182575,6,66,67,2,0,0,0
ENSG00000182578,18,118,87,36,5,20,15
ENSG00000182580,3,153,226,2,2,0,0
ENSG00000182583,0,5,8,0,0,1,0
ENSG00000182585,1,6,2,2,2,6,7
ENSG00000182586,1,53,103,6,7,9,20
ENSG00000182591,0,0,8,0,0,0,0
ENSG00000182600,5,62,96,24,22,18,28
ENSG00000182601,0,9,13,0,0,0,0
ENSG00000182606,1262,254,212,16451,17965,14088,23124
ENSG00000182612,1,158,234,13,19,22,22
ENSG00000182613,0,130,66,0,0,0,0
ENSG00000182621,4,226,166,94,28,27,10
ENSG00000182625,0,5,0,0,2,0,2
ENSG00000182628,85,49,40,703,663,187,512
ENSG00000182631,0,43,88,0,0,0,0
ENSG00000182632,7,38,41,0,0,0,0
ENSG00000182634,0,14,34,0,0,0,0
ENSG00000182636,1,55,44,1,3,1,0
ENSG00000182645,0,5,11,0,0,0,0
ENSG00000182648,25,286,265,193,310,118,189
ENSG00000182652,1,1,10,0,0,0,0
ENSG00000182667,1,109,94,0,0,0,1
ENSG00000182670,357,141,316,13327,12564,11788,15985
ENSG00000182674,0,14,17,0,0,0,0
ENSG00000182676,0,58,84,5,4,5,0
ENSG00000182685,2,16,26,114,134,114,182
ENSG00000182687,3,44,71,147,71,13,44
ENSG00000182698,2,37,75,0,0,0,1
ENSG00000182700,17,41,28,115,148,78,110
ENSG00000182704,1,99,196,0,0,0,0
ENSG00000182707,1,7,16,0,0,0,0
ENSG00000182712,0,0,0,0,0,0,0
ENSG00000182718,208,259,222,1565,1905,621,1721
ENSG00000182722,0,5,9,2,7,9,9
ENSG00000182732,10,122,147,13,15,4,12
ENSG00000182742,2,10,37,47,33,8,33
ENSG00000182747,0,44,46,5,0,0,0
ENSG00000182749,23,56,81,46,81,110,115
ENSG00000182752,8,62,45,3,2,10,7
ENSG00000182759,0,43,48,20,6,2,12
ENSG00000182768,16,32,47,895,737,588,810
ENSG00000182771,0,107,35,0,0,0,0
ENSG00000182774,33,111,105,884,585,1261,1416
ENSG00000182776,0,0,0,0,0,0,0
ENSG00000182782,1,20,25,1,1,0,0
ENSG00000182783,0,1,1,2,4,20,3
ENSG00000182791,0,54,78,4,1,5,0
ENSG00000182793,0,75,48,0,0,0,0
ENSG00000182795,5,32,13,6,4,3,21
ENSG00000182796,65,49,38,1071,711,1201,1341
ENSG00000182798,4,5,7,4,5,9,4
ENSG00000182809,5,134,226,211,312,26,602
ENSG00000182810,147,60,94,1323,1152,1329,2030
ENSG00000182814,0,45,13,1,0,1,2
ENSG00000182816,0,5,0,0,0,0,0
ENSG00000182824,1,10,3,0,0,0,0
ENSG00000182827,444,60,103,7128,6946,3801,7041
ENSG00000182831,883,37,54,6170,4838,5160,6671
ENSG00000182836,0,16,12,0,0,0,0
ENSG00000182841,72,106,126,899,968,800,1239
ENSG00000182853,0,33,18,1,0,0,1
ENSG00000182854,0,8,7,0,0,0,0
ENSG00000182858,96,169,194,523,544,624,780
ENSG00000182866,186,69,237,659,950,531,1168
ENSG00000182870,4,162,294,45,130,1,112
ENSG00000182871,1,160,239,414,93,438,280
ENSG00000182872,161,116,114,3279,2917,2617,3866
ENSG00000182873,11,43,105,201,167,336,310
ENSG00000182885,0,60,71,3,0,0,2
ENSG00000182888,1,5,40,2,0,2,7
ENSG00000182890,19,53,60,35,55,42,64
ENSG00000182896,0,27,34,0,0,0,0
ENSG00000182898,0,61,35,0,0,0,0
ENSG00000182899,1073,79,100,37280,48553,50616,68385
ENSG00000182901,50,305,203,21,60,290,121
ENSG00000182902,3,116,91,12,7,7,7
ENSG00000182903,66,16,40,3698,3194,2555,3396
ENSG00000182912,5,92,94,53,14,24,14
ENSG00000182916,0,26,13,2,1,1,0
ENSG00000182919,68,137,56,474,608,389,575
ENSG00000182921,0,3,4,0,0,0,0
ENSG00000182923,85,119,57,796,762,545,775
ENSG00000182931,0,4,0,0,0,1,1
ENSG00000182934,759,125,139,9068,5609,7528,8576
ENSG00000182938,0,63,129,0,0,0,0
ENSG00000182944,838,212,320,16074,13100,12788,18013
ENSG00000182950,0,22,22,0,0,0,0
ENSG00000182952,982,76,77,6798,6789,3991,6624
