ensembl_gene_id,naiveB_S3R1,naiveB_S3R2,naiveB_S3R3
ENSG00000228176,0,0,0
ENSG00000231251,0,0,0
ENSG00000142675,8,19,3
ENSG00000197245,0,0,0
ENSG00000231949,0,0,0
ENSG00000261025,0,0,0
ENSG00000116237,102,117,29
ENSG00000158195,2623,3385,731
ENSG00000130772,12,23,23
ENSG00000215899,2,2,2
ENSG00000237429,0,1,0
ENSG00000271398,0,0,0
ENSG00000225011,0,0,0
ENSG00000240731,18,40,3
ENSG00000235069,0,0,0
ENSG00000284676,0,0,0
ENSG00000237058,0,0,0
ENSG00000233399,0,0,1
ENSG00000090020,65,137,41
ENSG00000225990,0,0,0
ENSG00000157978,86,240,56
ENSG00000226944,0,0,0
ENSG00000270282,18,0,0
ENSG00000130770,387,265,196
ENSG00000235131,0,0,0
ENSG00000229044,2,4,3
ENSG00000162512,15,18,9
ENSG00000179840,5,32,4
ENSG00000272449,17,6,0
ENSG00000214973,0,0,0
ENSG00000158006,52,73,37
ENSG00000214812,1,0,1
ENSG00000142784,655,807,137
ENSG00000227950,7,26,15
ENSG00000126698,726,765,213
ENSG00000229447,12,94,41
ENSG00000229607,0,0,0
ENSG00000229994,85,33,12
ENSG00000130766,17,23,2
ENSG00000168528,5,8,3
ENSG00000196581,0,0,0
ENSG00000169403,20,44,11
ENSG00000117676,336,381,70
ENSG00000225126,0,0,0
ENSG00000084628,0,2,0
ENSG00000060688,218,454,123
ENSG00000236335,0,0,0
ENSG00000171612,97,59,37
ENSG00000241169,3,1,0
ENSG00000227001,3,2,3
ENSG00000270927,0,0,0
ENSG00000162458,0,0,0
ENSG00000188910,2,1,0
ENSG00000230523,0,0,0
ENSG00000186056,165,397,95
ENSG00000116138,864,944,273
ENSG00000231207,0,0,0
ENSG00000142765,273,342,78
ENSG00000158161,428,615,184
ENSG00000270330,0,0,0
ENSG00000142684,0,0,0
ENSG00000234619,68,18,6
ENSG00000121769,14,7,2
ENSG00000157330,0,0,0
ENSG00000142627,0,0,0
ENSG00000284668,0,0,0
ENSG00000233234,0,0,0
ENSG00000142632,5,56,0
ENSG00000234593,11,1,0
ENSG00000162490,21,2,2
ENSG00000158292,0,0,3
ENSG00000270605,37,195,43
ENSG00000238199,40,16,5
ENSG00000142733,17,10,2
ENSG00000189337,0,1,2
ENSG00000270601,0,0,0
ENSG00000233268,9,3,5
ENSG00000232912,68,62,23
ENSG00000235084,0,0,0
ENSG00000235143,0,0,0
ENSG00000225478,0,0,0
ENSG00000225077,0,4,0
ENSG00000028137,745,347,112
ENSG00000223944,0,0,0
ENSG00000238249,0,0,0
ENSG00000187952,0,0,0
ENSG00000237938,28,83,22
ENSG00000227409,0,0,8
ENSG00000204464,0,0,0
ENSG00000233372,1,0,0
ENSG00000162460,0,0,0
ENSG00000283259,0,0,0
ENSG00000142687,498,991,218
ENSG00000284543,0,2,0
ENSG00000226166,0,0,0
ENSG00000130939,916,1472,539
ENSG00000236216,0,0,0
ENSG00000175147,0,0,0
ENSG00000236266,2,4,1
ENSG00000127472,0,0,0
ENSG00000231103,0,0,0
ENSG00000060656,8,1,1
ENSG00000163867,659,946,390
ENSG00000232768,49,3,1
ENSG00000230214,0,0,0
ENSG00000189280,0,1,0
ENSG00000134698,465,924,212
ENSG00000134690,2,13,0
ENSG00000272420,6,35,24
ENSG00000224333,0,0,0
ENSG00000132881,10,5,1
ENSG00000273274,0,4,2
ENSG00000224321,0,0,0
ENSG00000116251,1133,1615,605
ENSG00000272510,0,7,1
ENSG00000158286,0,41,1
ENSG00000236648,0,0,0
ENSG00000232273,1,9,0
ENSG00000009709,0,0,0
ENSG00000043514,285,335,82
ENSG00000186543,0,0,0
ENSG00000287396,0,0,0
ENSG00000162510,94,192,103
ENSG00000179002,0,1,0
ENSG00000223589,0,0,0
ENSG00000188984,0,2,0
ENSG00000229259,0,0,0
ENSG00000270171,0,1,0
ENSG00000158008,0,0,0
ENSG00000269732,0,0,0
ENSG00000130940,97,412,88
ENSG00000116771,61,27,19
ENSG00000237301,23,26,1
ENSG00000162585,145,116,27
ENSG00000163879,19,8,1
ENSG00000227527,2,9,0
ENSG00000228823,0,0,1
ENSG00000010803,312,372,76
ENSG00000169991,187,260,57
ENSG00000116954,803,545,245
ENSG00000228589,1,0,1
ENSG00000163873,0,10,0
ENSG00000233431,0,0,0
ENSG00000117215,4,36,3
ENSG00000196449,103,259,76
ENSG00000250575,0,0,0
ENSG00000237700,0,0,0
ENSG00000116661,10,16,6
ENSG00000230163,0,0,0
ENSG00000227538,0,0,0
ENSG00000232208,0,0,0
ENSG00000162461,17,39,21
ENSG00000236500,0,0,0
ENSG00000044012,0,0,0
ENSG00000179051,837,975,426
ENSG00000215895,1,0,0
ENSG00000231868,0,0,0
ENSG00000284650,0,2,0
ENSG00000237329,68,15,15
ENSG00000236948,0,0,0
ENSG00000270850,0,0,0
ENSG00000287510,4,11,5
ENSG00000126067,383,794,193
ENSG00000274944,3,1,1
ENSG00000132906,105,166,25
ENSG00000197312,1218,1582,501
ENSG00000284748,11,0,0
ENSG00000272078,35,196,52
ENSG00000173660,885,525,515
ENSG00000224592,0,0,0
ENSG00000233728,0,0,0
ENSG00000230451,0,0,0
ENSG00000231606,0,0,0
ENSG00000215900,0,0,0
ENSG00000092847,699,1364,342
ENSG00000284632,0,0,0
ENSG00000204510,0,1,0
ENSG00000241014,0,0,0
ENSG00000054118,1993,3934,983
ENSG00000254553,0,1,0
ENSG00000230415,12,7,0
ENSG00000177181,2,3,0
ENSG00000284653,0,0,0
ENSG00000237749,33,21,5
ENSG00000224863,0,1,0
ENSG00000276747,0,3,0
ENSG00000284705,0,0,0
ENSG00000287828,0,0,0
ENSG00000228776,1,0,0
ENSG00000236009,0,0,0
ENSG00000228526,0,2,1
ENSG00000159339,17,4,1
ENSG00000284678,1,0,0
ENSG00000223814,0,0,0
ENSG00000197982,46,54,8
ENSG00000225158,0,0,0
ENSG00000261781,0,0,0
ENSG00000183317,0,4,0
ENSG00000250894,0,0,0
ENSG00000183386,0,8,0
ENSG00000284743,0,0,0
ENSG00000158315,1,5,6
ENSG00000229213,0,0,0
ENSG00000243749,0,0,0
ENSG00000204084,468,879,157
ENSG00000186973,0,0,0
ENSG00000271806,14,3,1
ENSG00000146463,1062,1285,447
ENSG00000279214,0,0,0
ENSG00000183520,133,171,72
ENSG00000271164,0,0,1
ENSG00000090686,1898,2718,903
ENSG00000271741,0,0,0
ENSG00000214141,0,0,0
ENSG00000142686,13,12,4
ENSG00000224751,22,10,4
ENSG00000279096,0,2,0
ENSG00000117148,0,0,0
ENSG00000230585,38,9,1
ENSG00000117000,983,1971,607
ENSG00000284989,0,0,0
ENSG00000178585,24,51,8
ENSG00000231630,0,0,0
ENSG00000092853,0,2,13
ENSG00000255811,0,0,0
ENSG00000198754,1,0,0
ENSG00000134697,295,483,188
ENSG00000187513,0,0,0
ENSG00000238145,0,0,0
ENSG00000225142,4,3,1
ENSG00000230138,2,5,2
ENSG00000223390,0,17,0
ENSG00000285823,0,0,0
ENSG00000284720,0,0,0
ENSG00000225028,0,0,0
ENSG00000225671,0,1,0
ENSG00000116151,36,49,19
ENSG00000226147,0,0,0
ENSG00000182873,34,55,2
ENSG00000286518,0,0,1
ENSG00000178715,89,6,18
ENSG00000006555,60,80,7
ENSG00000236111,6,5,2
ENSG00000066056,8,0,1
ENSG00000214114,202,99,27
ENSG00000173436,148,181,116
ENSG00000116544,9,8,0
ENSG00000231900,0,0,0
ENSG00000236723,1,0,0
ENSG00000232467,0,0,0
ENSG00000117016,16,33,1
ENSG00000121310,471,614,36
ENSG00000169213,0,1,1
ENSG00000163866,546,393,149
ENSG00000225779,1,7,5
ENSG00000236546,0,0,0
ENSG00000284601,0,4,0
ENSG00000049249,0,0,0
ENSG00000237130,2,0,7
ENSG00000116990,0,0,2
ENSG00000143001,0,0,0
ENSG00000229716,1,0,0
ENSG00000226133,0,1,0
ENSG00000227416,0,0,0
ENSG00000232335,0,0,0
ENSG00000260971,4,7,0
ENSG00000259832,0,0,0
ENSG00000284696,0,0,2
ENSG00000238242,0,0,0
ENSG00000285839,0,0,0
ENSG00000237290,0,0,0
ENSG00000232762,0,1,0
ENSG00000117419,83,169,26
ENSG00000162384,512,910,147
ENSG00000162391,0,0,0
ENSG00000174348,0,2,0
ENSG00000154198,0,1,0
ENSG00000117859,1190,1168,437
ENSG00000228121,0,1,0
ENSG00000253313,15,0,0
ENSG00000162396,30,14,0
ENSG00000203995,1,3,0
ENSG00000227742,1,8,0
ENSG00000284686,1,0,0
ENSG00000162378,523,783,291
ENSG00000233079,0,4,0
ENSG00000162599,62,33,29
ENSG00000259818,0,13,6
ENSG00000229444,1,1,9
ENSG00000240563,0,5,2
ENSG00000234318,0,0,0
ENSG00000284773,4,49,19
ENSG00000234481,0,0,0
ENSG00000117862,12,36,5
ENSG00000162551,8,0,5
ENSG00000235612,0,0,0
ENSG00000228369,2,18,0
ENSG00000183431,588,514,173
ENSG00000227485,0,0,0
ENSG00000224609,14,16,7
ENSG00000235545,1,3,1
ENSG00000236646,0,3,0
ENSG00000169174,1,4,0
ENSG00000232198,0,0,0
ENSG00000231622,0,0,0
ENSG00000238063,55,64,6
ENSG00000235804,0,1,0
ENSG00000227104,0,0,0
ENSG00000243725,0,10,3
ENSG00000116985,29,55,4
ENSG00000171872,0,0,0
ENSG00000162407,71,13,1
ENSG00000285079,0,0,0
ENSG00000169218,0,0,0
ENSG00000163877,193,431,261
ENSG00000228929,105,72,30
ENSG00000224570,0,0,0
ENSG00000224980,0,0,1
ENSG00000185031,0,0,0
ENSG00000278967,2,4,2
ENSG00000157184,62,119,58
ENSG00000272491,0,0,0
ENSG00000198815,1091,1550,478
ENSG00000134744,3654,4470,1910
ENSG00000162437,332,346,80
ENSG00000233910,0,0,0
ENSG00000287703,0,1,0
ENSG00000283039,0,0,0
ENSG00000229032,1,0,0
ENSG00000229294,7,5,0
ENSG00000184292,0,0,0
ENSG00000187140,0,0,0
ENSG00000226754,0,6,1
ENSG00000232993,0,0,0
ENSG00000234088,0,0,1
ENSG00000236973,1,10,3
ENSG00000227947,0,0,0
ENSG00000277397,0,0,0
ENSG00000271200,20,3,0
ENSG00000235446,0,0,0
ENSG00000261196,0,0,0
ENSG00000224209,0,0,0
ENSG00000237853,0,0,0
ENSG00000162385,131,137,282
ENSG00000231413,0,0,0
ENSG00000234264,0,0,0
ENSG00000242391,0,0,0
ENSG00000223883,0,0,0
ENSG00000284808,1,0,0
ENSG00000242267,0,0,0
ENSG00000237227,0,0,0
ENSG00000275350,0,0,1
ENSG00000116652,20,83,22
ENSG00000203605,0,0,0
ENSG00000123080,6,1,1
ENSG00000285778,0,0,0
ENSG00000077549,2140,2088,481
ENSG00000233407,0,0,0
ENSG00000225675,0,1,0
ENSG00000237622,0,0,0
ENSG00000162598,0,2,0
ENSG00000280317,0,0,0
ENSG00000162415,20,24,1
ENSG00000162600,556,732,180
ENSG00000116704,650,631,253
ENSG00000261213,0,0,0
ENSG00000227644,0,0,0
ENSG00000157193,35,84,30
ENSG00000116205,284,334,85
ENSG00000198841,17,66,55
ENSG00000116212,63,98,50
ENSG00000234204,0,0,0
ENSG00000224127,0,0,0
ENSG00000233099,0,0,0
ENSG00000233994,5,8,2
ENSG00000237180,0,2,0
ENSG00000213561,1,0,0
ENSG00000234496,3,0,0
ENSG00000233973,0,0,0
ENSG00000237552,0,0,0
ENSG00000132854,1,0,0
ENSG00000227556,0,0,0
ENSG00000162616,83,179,59
ENSG00000271355,0,1,0
ENSG00000162607,443,726,312
ENSG00000233602,1,9,3
ENSG00000233271,0,0,0
ENSG00000285954,10,0,0
ENSG00000233333,0,0,0
ENSG00000154027,123,65,37
ENSG00000234108,0,0,0
ENSG00000232676,0,0,0
ENSG00000225167,0,0,0
ENSG00000132122,58,124,29
ENSG00000213579,0,1,0
ENSG00000137960,0,0,0
ENSG00000237852,0,0,0
ENSG00000116745,0,1,0
ENSG00000132855,16,4,21
ENSG00000285407,0,0,0
ENSG00000272506,29,0,2
ENSG00000172380,0,0,0
ENSG00000286429,11,8,2
ENSG00000272855,0,5,7
ENSG00000270549,6,0,1
ENSG00000237163,0,1,0
ENSG00000229636,0,0,0
ENSG00000116675,3,11,3
ENSG00000224149,0,0,0
ENSG00000162433,1,0,1
ENSG00000213625,344,543,173
ENSG00000227207,0,2,0
ENSG00000227016,0,0,0
ENSG00000233664,0,0,0
ENSG00000237928,1,0,0
ENSG00000158966,0,4,2
ENSG00000213703,0,7,1
ENSG00000203965,139,140,97
ENSG00000223479,0,0,0
ENSG00000233674,5,4,2
ENSG00000153898,171,175,73
ENSG00000233290,3,0,0
ENSG00000117069,4,5,0
ENSG00000229943,0,0,0
ENSG00000286918,19,6,1
ENSG00000228734,0,0,0
ENSG00000125703,268,271,133
ENSG00000285041,0,2,0
ENSG00000185839,3,2,0
ENSG00000285808,0,0,0
ENSG00000275678,0,0,0
ENSG00000229440,0,0,0
ENSG00000234144,15,0,1
ENSG00000226891,16,7,0
ENSG00000213540,0,2,1
ENSG00000277670,0,0,0
ENSG00000227466,0,0,0
ENSG00000154007,0,2,0
ENSG00000225242,0,0,0
ENSG00000230498,0,1,5
ENSG00000229554,5,0,1
ENSG00000285782,34,23,8
ENSG00000162618,0,0,0
ENSG00000224493,0,0,0
ENSG00000131233,0,0,4
ENSG00000272371,0,3,8
ENSG00000287647,0,1,0
ENSG00000229225,0,0,0
ENSG00000230863,1,0,1
ENSG00000271576,53,6,1
ENSG00000213560,0,0,0
ENSG00000287224,0,2,0
ENSG00000225598,0,0,0
ENSG00000227883,0,0,0
ENSG00000084072,398,652,392
ENSG00000286455,0,0,0
ENSG00000225087,0,1,0
ENSG00000224986,0,0,0
ENSG00000280378,7,16,5
ENSG00000016490,0,2,0
ENSG00000188786,336,887,165
ENSG00000162434,6326,10421,2245
ENSG00000230053,0,0,0
ENSG00000137941,0,24,2
ENSG00000273338,88,41,39
ENSG00000116717,18,68,83
ENSG00000223720,0,0,0
ENSG00000224326,0,0,0
ENSG00000235002,0,0,0
ENSG00000286548,60,16,5
ENSG00000066135,109,213,62
ENSG00000230027,0,0,0
ENSG00000233061,0,3,1
ENSG00000272094,3,24,8
ENSG00000228853,0,0,0
ENSG00000215874,0,1,0
ENSG00000232453,0,16,0
ENSG00000260386,0,0,0
ENSG00000284895,0,0,0
ENSG00000117174,1151,1383,611
ENSG00000237413,0,0,0
ENSG00000184313,8,0,0
ENSG00000284645,0,14,1
ENSG00000225605,0,0,0
ENSG00000225446,11,1,0
ENSG00000288543,0,0,0
ENSG00000122420,0,9,0
ENSG00000284240,0,0,1
ENSG00000236290,1,6,0
ENSG00000143013,260,223,157
ENSG00000226084,24,14,1
ENSG00000134748,794,1309,487
ENSG00000097096,0,27,4
ENSG00000142892,193,337,155
ENSG00000219102,1,0,0
ENSG00000184005,178,174,60
ENSG00000230953,16,45,2
ENSG00000287743,0,0,1
ENSG00000229332,0,0,0
ENSG00000227937,0,0,0
ENSG00000229752,1,1,2
ENSG00000237505,2,10,2
ENSG00000285462,0,0,0
ENSG00000233216,5,0,0
ENSG00000197273,0,0,0
ENSG00000226804,0,0,0
ENSG00000285325,0,0,0
ENSG00000230728,0,0,0
ENSG00000162402,6198,7220,2133
ENSG00000232846,1,0,0
ENSG00000219201,14,11,3
ENSG00000230787,0,0,0
ENSG00000116641,389,284,99
ENSG00000235927,5,0,0
ENSG00000223920,4,0,0
ENSG00000237453,0,0,0
ENSG00000172260,0,8,2
ENSG00000285473,0,0,0
ENSG00000237959,0,0,0
ENSG00000231364,95,99,17
ENSG00000234578,0,0,0
ENSG00000117480,25,19,3
ENSG00000137944,322,351,96
ENSG00000229505,0,1,0
ENSG00000228187,0,0,1
ENSG00000285201,0,0,0
ENSG00000182183,191,235,52
ENSG00000236407,0,0,0
ENSG00000236915,2,3,5
ENSG00000271949,0,0,0
ENSG00000227062,0,0,1
ENSG00000067334,1028,1233,728
ENSG00000235011,0,0,0
ENSG00000235673,0,8,0
ENSG00000226938,0,0,0
ENSG00000213559,0,1,1
ENSG00000287587,0,0,0
ENSG00000122417,507,744,332
ENSG00000142949,1,0,0
ENSG00000116133,47,36,3
ENSG00000285210,0,4,1
ENSG00000232882,48,20,6
ENSG00000224466,0,0,0
ENSG00000171502,0,1,0
ENSG00000162399,0,0,0
ENSG00000231349,0,0,0
ENSG00000116157,93,242,33
ENSG00000143036,2,5,1
ENSG00000232672,2,0,0
ENSG00000230817,49,19,8
ENSG00000235613,30,25,34
ENSG00000065243,1473,2141,779
ENSG00000226759,46,6,0
ENSG00000226960,1,1,0
ENSG00000233877,20,15,6
ENSG00000234080,0,2,2
ENSG00000237899,0,2,0
ENSG00000234784,73,20,17
ENSG00000225492,1,0,0
ENSG00000223905,17,3,3
ENSG00000227290,5,1,3
ENSG00000229486,0,0,0
ENSG00000223683,0,0,0
ENSG00000282898,0,0,0
ENSG00000285409,0,0,0
ENSG00000016602,2,2,0
ENSG00000231090,0,12,3
ENSG00000117528,303,387,215
ENSG00000271723,0,1,0
ENSG00000066185,7,3,4
ENSG00000172339,46,34,15
ENSG00000036549,1177,1185,363
ENSG00000287724,10,0,0
ENSG00000058799,131,141,47
ENSG00000225191,0,5,0
ENSG00000287870,0,0,0
ENSG00000235563,0,0,0
ENSG00000232048,0,0,0
ENSG00000232857,0,0,0
ENSG00000273637,0,0,0
ENSG00000272145,93,201,64
ENSG00000203985,0,1,0
ENSG00000228838,0,0,0
ENSG00000283761,62,73,28
ENSG00000284716,0,0,0
ENSG00000189433,0,0,0
ENSG00000230759,0,0,1
ENSG00000231866,0,0,0
ENSG00000179178,0,0,0
ENSG00000142700,0,2,0
ENSG00000285525,0,1,0
ENSG00000236098,0,0,0
ENSG00000233514,1,2,4
ENSG00000127124,149,231,89
ENSG00000266993,42,112,41
ENSG00000153923,0,0,0
ENSG00000097033,1471,1765,841
ENSG00000223675,0,0,1
ENSG00000182330,0,1,0
ENSG00000162604,357,547,320
ENSG00000229316,0,0,1
ENSG00000116171,1204,1703,327
ENSG00000287406,0,0,0
ENSG00000225767,17,14,17
ENSG00000234099,0,0,0
ENSG00000137936,63,43,16
ENSG00000235308,0,0,4
ENSG00000232752,0,0,0
ENSG00000235829,0,0,0
ENSG00000143032,0,1,0
ENSG00000228971,0,1,0
ENSG00000226745,0,0,0
ENSG00000178028,499,858,179
ENSG00000280040,0,0,0
ENSG00000168710,852,1556,267
ENSG00000117519,91,323,75
ENSG00000270507,0,0,0
ENSG00000238037,0,0,0
ENSG00000215869,0,0,0
ENSG00000134215,3813,4415,1291
ENSG00000227935,0,0,0
ENSG00000229887,0,2,1
ENSG00000228502,101,58,17
ENSG00000236268,5,18,1
ENSG00000271277,0,0,0
ENSG00000236888,1,1,0
ENSG00000279778,0,0,0
ENSG00000232015,24,5,5
ENSG00000230955,0,0,0
ENSG00000230828,0,0,0
ENSG00000188641,733,306,135
ENSG00000152078,33,69,37
ENSG00000237279,0,0,0
ENSG00000233359,0,0,0
ENSG00000237954,0,0,0
ENSG00000185668,19,16,13
ENSG00000171492,547,822,137
ENSG00000233129,0,0,1
ENSG00000170989,908,2437,1424
ENSG00000055732,0,0,0
ENSG00000258634,75,257,72
ENSG00000271914,0,0,0
ENSG00000233557,0,0,0
ENSG00000237897,1,2,0
ENSG00000116299,1,14,4
ENSG00000137962,0,0,0
ENSG00000227832,0,0,0
ENSG00000286692,0,0,0
ENSG00000236674,0,0,0
ENSG00000260464,49,4,4
ENSG00000237435,0,0,0
ENSG00000232825,0,2,0
ENSG00000231996,0,0,0
ENSG00000273204,0,0,0
ENSG00000079739,191,161,31
ENSG00000117154,0,0,0
ENSG00000162377,31,127,45
ENSG00000224613,1,0,0
ENSG00000176378,0,0,0
ENSG00000116670,69,119,16
ENSG00000215871,0,0,0
ENSG00000287372,1,0,0
ENSG00000232542,5,0,1
ENSG00000231095,0,0,0
ENSG00000116774,0,0,0
ENSG00000287756,1,1,0
ENSG00000269113,0,0,0
ENSG00000284652,0,0,1
ENSG00000023909,69,213,56
ENSG00000069702,2,1,2
ENSG00000232185,0,1,0
ENSG00000230489,79,76,32
ENSG00000230721,3,0,0
ENSG00000228399,9,9,6
ENSG00000236776,1,1,0
ENSG00000285928,0,6,2
ENSG00000224685,0,0,0
ENSG00000287076,0,0,0
ENSG00000237480,0,1,0
ENSG00000271252,0,0,0
ENSG00000230427,6,43,24
ENSG00000235794,0,1,0
ENSG00000286758,0,0,0
ENSG00000237337,0,0,0
ENSG00000233983,0,0,0
ENSG00000198198,1014,1650,316
ENSG00000225183,0,0,0
ENSG00000230402,0,0,0
ENSG00000116793,179,227,54
ENSG00000286899,13,25,25
ENSG00000134201,0,0,0
ENSG00000238122,0,0,0
ENSG00000260879,0,0,0
ENSG00000213366,12,195,28
ENSG00000230864,0,0,0
ENSG00000283354,0,0,0
ENSG00000232918,0,0,0
ENSG00000236360,0,1,0
ENSG00000183298,1,2,0
ENSG00000234332,21,9,10
ENSG00000117525,0,18,12
ENSG00000225079,0,0,0
ENSG00000226483,0,0,0
ENSG00000224238,59,13,4
ENSG00000229537,0,0,0
ENSG00000162699,0,0,1
ENSG00000268993,0,0,0
ENSG00000162692,1,0,0
ENSG00000203914,1,0,1
ENSG00000227070,12,15,3
ENSG00000270457,0,0,0
ENSG00000163349,1519,2176,570
ENSG00000203858,0,2,0
