"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000170255","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000170260","1","28","0","0","255","186","296","244","117","201","37"
"ENSG00000170262","0","0","17","1","0","5","0","0","1","7","0"
"ENSG00000170264","1","211","338","68","48","31","7","14","12","48","9"
"ENSG00000170265","0","9","2","6","60","69","37","38","72","90","28"
"ENSG00000170266","844","1236","1104","24","1106","744","922","1415","428","595","105"
"ENSG00000170270","89","316","0","1","101","49","150","153","28","40","20"
"ENSG00000170271","0","1","2","2","169","337","50","173","34","67","13"
"ENSG00000170275","1431","904","121","193","1093","815","773","1546","424","612","163"
"ENSG00000170276","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170279","0","0","0","11","0","0","0","0","0","0","0"
"ENSG00000170289","0","0","2","152","0","1","8","7","33","18","8"
"ENSG00000170290","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170291","345","769","4193","4","508","422","488","395","270","278","54"
"ENSG00000170293","0","61","0","0","0","1","0","8","0","1","0"
"ENSG00000170296","0","2","2","0","11","9","29","42","1","25","12"
"ENSG00000170298","0","0","0","5","2","9","5","1","0","0","0"
"ENSG00000170310","2334","1344","5519","292","140","108","144","98","151","134","36"
"ENSG00000170312","22","1","0","5","0","0","8","0","3","1","1"
"ENSG00000170315","19735","11582","26323","4381","633","740","740","951","439","294","113"
"ENSG00000170322","396","333","21","274","651","460","511","627","477","407","93"
"ENSG00000170323","0","0","143","0","0","0","0","0","0","0","0"
"ENSG00000170324","0","0","24","262","0","0","0","0","0","2","0"
"ENSG00000170325","213","48","0","13","116","314","176","256","223","234","97"
"ENSG00000170340","369","509","2216","47","683","887","553","151","154","218","117"
"ENSG00000170345","34043","29835","35316","1895","26743","37290","26453","38638","7191","459","600"
"ENSG00000170348","4755","6741","16801","2626","2746","3828","2688","3388","1980","2396","689"
"ENSG00000170356","6","67","70","16","55","58","28","34","24","10","2"
"ENSG00000170364","1","113","1414","2","55","24","59","23","87","124","31"
"ENSG00000170365","0","0","79","23","1","0","11","0","8","1","1"
"ENSG00000170367","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170369","0","0","0","18","0","0","0","0","0","0","0"
"ENSG00000170370","0","0","3","0","0","0","0","0","4","0","0"
"ENSG00000170373","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170374","0","0","0","4","0","4","6","0","2","5","0"
"ENSG00000170379","57","11","291","33","84","76","70","59","82","112","16"
"ENSG00000170381","0","15","1","57","0","0","0","0","1","2","0"
"ENSG00000170382","0","0","0","114","58","157","79","171","21","114","13"
"ENSG00000170385","2","0","0","0","2","66","89","58","72","70","22"
"ENSG00000170390","0","32","0","73","33","59","18","48","9","58","11"
"ENSG00000170396","0","1","0","25","16","9","3","0","1","12","8"
"ENSG00000170409","0","12","0","0","0","0","2","2","1","1","0"
"ENSG00000170412","0","0","1","13","0","7","0","10","0","0","0"
"ENSG00000170417","0","148","59","41","131","117","51","89","117","52","15"
"ENSG00000170419","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170421","0","3","1","2","2","1","2","0","6","0","0"
"ENSG00000170423","0","0","0","43","0","0","0","0","0","0","0"
"ENSG00000170425","1","156","0","1","84","87","45","47","0","17","0"
"ENSG00000170426","0","2","0","0","0","0","0","0","0","0","0"
"ENSG00000170430","798","830","4","3","261","262","305","139","117","103","49"
"ENSG00000170439","0","0","0","0","1","22","6","2","0","11","1"
"ENSG00000170442","1","0","0","0","0","0","0","4","0","0","0"
"ENSG00000170445","1603","1535","1748","66","1202","962","849","1084","181","606","220"
"ENSG00000170448","22","369","3","297","246","301","293","298","227","291","52"
"ENSG00000170454","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000170456","8","546","1032","167","830","1557","523","491","1390","1725","533"
"ENSG00000170458","466","15","2","2","483","386","1487","3484","2","4","7"
"ENSG00000170464","1","325","791","48","68","323","113","122","106","194","37"
"ENSG00000170465","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000170468","12","2","745","313","80","69","56","22","42","184","101"
"ENSG00000170469","0","6","0","0","7","17","4","1","5","4","5"
"ENSG00000170471","271","687","268","349","1068","1611","898","559","2606","3467","816"
"ENSG00000170473","1100","1249","340","890","219","159","258","178","212","177","180"
"ENSG00000170476","1372","907","375","496","893","1185","1241","1591","262","347","127"
"ENSG00000170477","0","0","0","13","0","0","0","0","0","2","0"
"ENSG00000170482","0","0","2","15","91","115","94","114","35","98","28"
"ENSG00000170484","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170485","0","5","1","18","0","0","0","0","1","1","0"
"ENSG00000170486","0","0","0","0","0","0","4","0","0","0","0"
"ENSG00000170498","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170500","1","1","1143","45","0","0","0","0","5","5","1"
"ENSG00000170502","619","0","3","25","365","150","213","185","162","184","36"
"ENSG00000170509","0","1","30","51","30","34","8","22","9","36","12"
"ENSG00000170515","636","530","11","266","679","478","476","561","302","735","109"
"ENSG00000170516","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170522","0","1","8","75","47","29","18","5","2","5","5"
"ENSG00000170523","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170525","53","66","378","19","153","263","205","1008","151","263","98"
"ENSG00000170537","0","0","0","74","0","0","0","0","0","0","0"
"ENSG00000170540","438","2166","716","326","1962","1773","1463","2029","1027","1100","1119"
"ENSG00000170542","1982","6942","6134","15816","2570","2907","1821","2749","1187","1996","769"
"ENSG00000170545","101","451","1404","130","265","181","229","95","211","310","85"
"ENSG00000170549","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170558","0","0","49","3","0","0","0","0","1","2","0"
"ENSG00000170561","0","0","0","0","0","0","0","0","1","1","1"
"ENSG00000170571","1153","1803","1028","847","1606","2078","1221","1874","1629","2158","1035"
"ENSG00000170577","0","0","0","1","0","1","0","0","0","0","0"
"ENSG00000170579","0","0","8","107","4","0","0","0","0","4","1"
"ENSG00000170581","741","3427","17276","3998","2203","5126","2611","5593","1315","2250","393"
"ENSG00000170584","709","2170","1055","365","304","254","425","353","493","620","376"
"ENSG00000170604","0","51","0","0","2","22","22","14","26","30","7"
"ENSG00000170605","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170606","3037","1511","4354","1204","1914","2008","1232","1453","1275","2628","734"
"ENSG00000170608","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170613","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170615","0","0","0","42","0","0","6","0","0","0","0"
"ENSG00000170619","268","921","149","24","187","173","258","216","132","125","23"
"ENSG00000170624","0","0","0","75","0","0","0","0","0","4","0"
"ENSG00000170627","281","0","45","12","2","4","11","15","9","79","9"
"ENSG00000170629","0","1","7","8","55","57","71","24","181","68","17"
"ENSG00000170631","1","2","0","54","191","98","167","22","92","92","29"
"ENSG00000170632","64","335","3","148","199","122","138","13","367","247","121"
"ENSG00000170633","1433","1370","1144","496","829","861","734","723","322","453","165"
"ENSG00000170634","1066","699","123","471","126","123","101","97","238","161","77"
"ENSG00000170638","1051","622","234","114","730","688","735","808","166","283","62"
"ENSG00000170653","27","230","216","103","223","224","188","238","504","682","169"
"ENSG00000170667","0","31","156","24","20","28","2","12","12","18","3"
"ENSG00000170677","12","340","0","3","0","52","20","32","2","11","3"
"ENSG00000170681","0","58","0","13","0","0","0","0","1","3","2"
"ENSG00000170683","0","0","17","0","0","0","0","0","1","3","0"
"ENSG00000170684","573","148","1","0","273","105","317","137","60","92","19"
"ENSG00000170688","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170689","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170703","0","35","0","58","0","0","0","0","0","0","0"
"ENSG00000170734","43","332","2","166","1145","824","622","525","593","524","95"
"ENSG00000170743","1","0","1","0","8","25","20","1","15","14","4"
"ENSG00000170745","0","0","1","7","0","1","0","0","0","0","0"
"ENSG00000170748","0","0","0","0","0","0","0","0","0","3","0"
"ENSG00000170759","2375","3478","2004","810","1790","1378","1581","1946","1738","2521","1152"
"ENSG00000170775","0","0","0","1","0","0","6","0","0","2","0"
"ENSG00000170776","4875","3585","8323","3356","5452","7129","4506","5308","6710","8001","1930"
"ENSG00000170777","0","0","0","61","0","0","0","0","0","0","0"
"ENSG00000170779","2","2","13","9","152","71","128","99","67","44","30"
"ENSG00000170782","0","0","0","4","0","0","0","0","0","1","0"
"ENSG00000170786","0","0","429","7","0","0","0","0","0","0","4"
"ENSG00000170788","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170790","0","2","244","38","0","0","0","0","2","2","2"
"ENSG00000170791","539","2183","1025","461","1389","1359","1158","1108","1097","1141","336"
"ENSG00000170801","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170802","7","1026","2036","197","1451","1308","1095","1066","1162","1376","497"
"ENSG00000170807","0","22","0","4","7","20","6","0","78","35","27"
"ENSG00000170819","3","0","0","7","0","0","0","0","0","1","0"
"ENSG00000170820","0","0","146","41","0","0","0","0","0","0","0"
"ENSG00000170827","0","0","1","0","0","0","0","0","0","0","2"
"ENSG00000170832","0","412","2153","248","467","582","400","338","962","984","331"
"ENSG00000170835","0","0","1","1","1","0","0","0","0","1","0"
"ENSG00000170836","351","966","520","207","584","545","366","369","271","477","157"
"ENSG00000170837","0","1","0","0","0","0","0","0","0","8","0"
"ENSG00000170846","23","414","2","129","49","88","38","9","45","124","59"
"ENSG00000170848","0","0","0","3","0","0","0","0","0","0","0"
"ENSG00000170852","2749","5470","3229","1129","780","1003","726","707","1496","2480","889"
"ENSG00000170854","845","158","54","250","439","498","354","338","158","240","61"
"ENSG00000170855","1052","881","1267","371","217","189","262","329","178","187","88"
"ENSG00000170858","0","0","0","0","0","2","1","0","0","0","0"
"ENSG00000170860","1138","2772","7773","3234","68","157","100","78","596","475","178"
"ENSG00000170871","5","315","1181","193","388","544","247","240","327","714","190"
"ENSG00000170873","2504","2525","1267","3251","2247","1940","2036","1331","3963","6159","1360"
"ENSG00000170876","165","242","5","26","718","1109","469","724","399","857","196"
"ENSG00000170881","60","1355","3219","563","837","1117","441","341","475","476","422"
"ENSG00000170889","11293","11959","19754","4154","1555","2261","2201","1103","6021","4031","1148"
"ENSG00000170890","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000170891","0","1","0","0","0","4","5","4","0","0","0"
"ENSG00000170892","422","196","3","52","143","137","217","53","59","183","49"
"ENSG00000170893","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000170899","318","13","0","2","59","23","96","38","16","38","3"
"ENSG00000170903","0","0","0","10","260","178","191","133","98","231","88"
"ENSG00000170906","3981","2645","6292","1982","93","95","64","22","57","163","33"
"ENSG00000170909","4","1","0","38","61","35","132","196","1","0","0"
"ENSG00000170915","0","0","0","22","121","275","59","33","110","72","23"
"ENSG00000170917","4","0","0","11","55","68","18","26","18","26","5"
"ENSG00000170919","125","871","241","535","196","286","193","210","302","280","147"
"ENSG00000170920","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170921","144","74","13","262","76","88","110","49","307","608","131"
"ENSG00000170923","0","0","0","1","0","0","0","0","1","0","0"
"ENSG00000170925","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170927","0","0","3","54","0","0","0","0","5","1","2"
"ENSG00000170929","0","0","0","2","0","0","0","0","0","0","0"
"ENSG00000170935","0","0","0","0","4","1","1","0","3","2","2"
"ENSG00000170946","1","151","313","304","178","157","147","125","409","342","128"
"ENSG00000170948","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170949","330","804","18","202","857","1509","708","704","584","954","356"
"ENSG00000170950","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170953","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170954","541","0","0","101","64","103","67","147","16","88","34"
"ENSG00000170955","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000170956","1","1","0","1","1","8","4","28","0","1","0"
"ENSG00000170959","0","6","2","118","0","0","0","0","0","2","1"
"ENSG00000170961","0","0","1","16","0","0","0","0","2","0","0"
"ENSG00000170962","0","0","0","6","0","0","28","63","0","4","0"
"ENSG00000170965","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000170967","0","0","1","36","1","0","0","0","1","2","1"
"ENSG00000170983","0","0","0","0","0","0","0","0","50","1","0"
"ENSG00000170989","5765","3208","259","357","2252","2220","1540","2039","908","2437","1424"
"ENSG00000171004","0","0","8","119","0","19","0","0","0","0","0"
"ENSG00000171014","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171016","0","0","42","29","0","0","0","0","0","0","2"
"ENSG00000171017","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000171033","118","346","5","30","134","245","139","94","233","184","92"
"ENSG00000171044","0","9","66","54","97","88","29","42","238","109","52"
"ENSG00000171045","0","124","1","4","135","311","169","111","62","67","12"
"ENSG00000171049","1","0","0","0","82","172","78","378","1","1","0"
"ENSG00000171051","11","162","76","46","158","214","554","1061","3","1","2"
"ENSG00000171053","0","0","1","4","0","0","0","0","0","3","0"
"ENSG00000171054","0","0","0","59","0","0","0","0","0","0","0"
"ENSG00000171055","1","1","14","26","193","173","152","127","269","270","147"
"ENSG00000171056","0","0","0","0","2","0","2","0","22","8","8"
"ENSG00000171060","0","0","1","1","0","0","0","0","0","0","0"
"ENSG00000171067","641","500","436","68","852","617","842","995","491","580","175"
"ENSG00000171084","0","0","0","0","6","0","6","0","0","4","0"
"ENSG00000171094","0","0","847","10","0","0","2","0","5","2","2"
"ENSG00000171097","0","9","0","0","5","5","1","14","9","9","2"
"ENSG00000171100","163","1101","702","370","918","1174","725","685","1184","1619","480"
"ENSG00000171101","0","2","0","6","20","1","28","13","0","0","0"
"ENSG00000171102","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171103","199","526","1592","194","256","160","272","308","74","124","32"
"ENSG00000171105","338","723","7191","1125","164","127","193","144","123","144","39"
"ENSG00000171109","446","1395","6685","1833","1019","1462","707","869","1423","1741","415"
"ENSG00000171115","1","0","1","25","99","158","246","470","2","0","6"
"ENSG00000171116","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000171119","0","0","5","0","0","0","0","0","0","4","0"
"ENSG00000171121","42","3","1","33","46","77","36","8","38","74","25"
"ENSG00000171124","0","0","95","1","0","0","4","0","0","0","0"
"ENSG00000171126","0","0","0","4","0","0","0","0","0","0","0"
"ENSG00000171130","4","289","306","0","256","211","276","387","23","47","16"
"ENSG00000171132","1479","497","1168","435","891","1027","708","431","1752","2156","672"
"ENSG00000171133","0","0","1","0","0","0","0","0","1","0","0"
"ENSG00000171135","189","975","0","2","339","238","455","347","179","305","89"
"ENSG00000171136","1","0","0","0","0","5","0","0","12","1","0"
"ENSG00000171148","544","710","862","3","733","713","812","872","237","357","82"
"ENSG00000171150","116","569","585","48","474","363","606","254","222","511","204"
"ENSG00000171155","0","2","1074","4","168","94","125","216","6","31","8"
"ENSG00000171159","1121","1226","8","3","57","94","58","35","51","79","5"
"ENSG00000171160","0","0","2","52","16","15","11","0","7","0","1"
"ENSG00000171161","1768","316","166","15","1057","1203","943","754","191","259","81"
"ENSG00000171163","1694","686","0","1","761","980","721","931","256","490","86"
"ENSG00000171169","3","60","21","208","190","149","91","52","65","103","32"
"ENSG00000171174","0","39","0","3","14","28","19","15","102","41","17"
"ENSG00000171180","0","0","0","29","0","0","0","0","0","5","0"
"ENSG00000171189","0","51","1","116","4","0","21","2","18","6","2"
"ENSG00000171195","0","0","0","64","0","0","0","0","0","0","0"
"ENSG00000171199","0","0","0","4","0","0","0","0","0","0","0"
"ENSG00000171201","0","0","0","103","0","0","0","0","0","0","0"
"ENSG00000171202","469","233","1323","177","57","98","88","70","274","355","96"
"ENSG00000171204","501","1146","2698","1217","220","242","339","257","272","482","190"
"ENSG00000171206","522","272","57","196","297","312","225","344","274","386","124"
"ENSG00000171208","0","0","0","0","11","22","0","8","51","23","11"
"ENSG00000171209","0","0","1","0","0","0","0","0","0","1","0"
"ENSG00000171217","0","0","1","0","1","11","5","6","26","29","8"
"ENSG00000171219","0","0","1","1","48","45","44","28","18","41","16"
"ENSG00000171222","12525","3839","1807","512","179","175","210","153","94","50","24"
"ENSG00000171223","9032","7980","1882","40","13057","10239","9303","6119","5057","1517","2932"
"ENSG00000171224","0","2","0","3","6","2","0","0","0","8","1"
"ENSG00000171227","0","0","0","17","0","0","0","0","0","0","0"
"ENSG00000171234","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171236","0","1","0","5","11","10","29","81","0","2","0"
"ENSG00000171241","0","1","2","7","8","5","9","9","23","8","14"
"ENSG00000171243","0","0","0","31","0","0","1","0","0","0","0"
"ENSG00000171246","0","27","0","44","0","0","0","0","0","0","0"
"ENSG00000171262","114","269","1136","278","149","139","77","93","380","371","323"
"ENSG00000171291","4","410","63","65","620","654","397","301","359","486","176"
"ENSG00000171295","1","225","393","7","92","167","70","61","99","76","33"
"ENSG00000171298","1","337","80","1","670","1251","872","1566","135","127","19"
"ENSG00000171302","2","44","58","30","345","321","195","169","269","218","46"
"ENSG00000171303","0","0","1","18","0","0","0","0","0","0","0"
"ENSG00000171307","377","158","3","99","417","438","400","130","119","190","39"
"ENSG00000171310","269","406","209","3","113","196","185","107","567","981","184"
"ENSG00000171311","508","223","76","196","230","186","267","210","123","262","78"
"ENSG00000171314","627","249","4","19","339","347","472","454","17","69","19"
"ENSG00000171316","3747","4380","3900","2028","2836","3181","1921","1729","4142","5572","1949"
"ENSG00000171320","29","0","0","81","0","0","0","21","10","8","0"
"ENSG00000171345","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171346","1","0","35","14","0","0","0","0","0","0","0"
"ENSG00000171357","0","0","0","18","5","7","0","5","0","2","0"
"ENSG00000171360","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000171365","0","0","2","104","49","196","47","82","104","125","52"
"ENSG00000171368","0","0","0","8","17","9","0","0","2","22","1"
"ENSG00000171385","0","0","0","42","0","1","6","2","33","16","14"
"ENSG00000171388","0","0","0","0","0","19","0","0","0","0","1"
"ENSG00000171396","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171401","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171402","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171403","0","0","0","2","0","0","0","0","0","3","0"
"ENSG00000171405","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171408","406","115","129","467","148","193","156","197","150","182","122"
"ENSG00000171421","489","470","2","130","20","27","44","17","39","27","16"
"ENSG00000171425","451","1221","50","59","475","321","661","341","95","185","33"
"ENSG00000171428","1","0","0","4","98","48","103","4","111","74","22"
"ENSG00000171431","0","0","0","14","0","0","0","0","0","0","0"
"ENSG00000171433","0","0","0","0","0","5","0","0","0","0","0"
"ENSG00000171435","0","1","694","49","0","0","0","0","0","6","0"
"ENSG00000171443","7","98","0","17","62","71","117","48","1","10","0"
"ENSG00000171444","0","0","61","19","89","1","67","126","64","64","22"
"ENSG00000171446","0","0","0","5","0","0","0","0","0","0","0"
"ENSG00000171448","1","78","0","73","121","23","159","112","159","395","68"
"ENSG00000171450","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171451","0","0","0","44","11","1","1","0","1","7","13"
"ENSG00000171453","228","464","1322","650","445","224","216","232","220","481","117"
"ENSG00000171456","1081","275","1108","421","909","1831","888","462","1783","2769","616"
"ENSG00000171459","0","0","0","54","0","0","0","0","0","0","0"
"ENSG00000171462","0","0","0","0","42","7","20","2","33","30","6"
"ENSG00000171466","55","165","840","104","102","58","74","84","233","358","116"
"ENSG00000171467","1039","1276","4311","428","2732","3404","1610","923","6267","9868","1591"
"ENSG00000171469","137","335","1","137","272","344","204","151","311","330","106"
"ENSG00000171475","452","680","21","300","541","488","295","571","926","1158","325"
"ENSG00000171476","709","258","4","206","229","35","189","128","119","128","26"
"ENSG00000171478","0","0","24","0","0","1","0","0","0","0","0"
"ENSG00000171481","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000171483","0","0","0","72","0","0","0","0","0","5","0"
"ENSG00000171487","0","0","0","50","0","0","0","0","0","0","0"
"ENSG00000171488","5","10","34","249","303","291","213","148","617","385","73"
"ENSG00000171489","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171490","11509","8634","21674","12451","1242","1044","976","1629","1931","3237","659"
"ENSG00000171492","198","135","3","21","481","753","478","190","547","822","137"
"ENSG00000171495","0","0","123","66","0","0","0","0","0","0","0"
"ENSG00000171496","0","0","0","7","0","25","0","0","2","0","0"
"ENSG00000171497","414","247","265","17","287","148","155","172","245","308","73"
"ENSG00000171501","0","0","40","0","12","0","0","0","0","0","0"
"ENSG00000171502","0","0","2","39","0","1","0","0","0","1","0"
"ENSG00000171503","11","380","11","453","202","181","172","160","257","428","190"
"ENSG00000171505","0","0","0","86","0","0","0","0","0","0","1"
"ENSG00000171509","0","3","0","3","0","0","0","0","0","0","0"
"ENSG00000171517","0","0","176","0","4","0","0","0","0","0","1"
"ENSG00000171522","1101","1173","496","159","798","1712","606","1984","717","446","208"
"ENSG00000171530","631","852","846","1148","125","211","125","125","252","180","49"
"ENSG00000171532","0","1","2","2","2","1","1","0","5","4","2"
"ENSG00000171533","0","0","0","0","5","0","0","0","0","0","0"
"ENSG00000171540","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171551","0","0","0","0","0","0","0","0","0","1","1"
"ENSG00000171552","1","68","6","0","1049","750","216","1922","29","59","5"
"ENSG00000171557","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171560","0","0","0","32","0","0","0","0","0","0","0"
"ENSG00000171561","0","0","14","1","0","0","0","0","0","1","0"
"ENSG00000171564","0","0","145","32","0","0","0","0","1","0","0"
"ENSG00000171566","9","524","2747","63","1035","748","1114","907","506","896","218"
"ENSG00000171570","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171574","850","155","514","28","16","12","78","23","15","24","10"
"ENSG00000171587","0","0","1","45","0","0","0","0","0","3","0"
"ENSG00000171595","1","0","0","1","0","0","0","0","0","3","0"
"ENSG00000171596","1","0","0","0","0","21","39","23","0","0","0"
"ENSG00000171603","258","224","212","117","567","751","603","263","747","1201","222"
"ENSG00000171604","910","2537","480","257","1258","788","1099","719","1909","2796","648"
"ENSG00000171606","480","873","2003","403","1113","1249","976","1012","821","925","255"
"ENSG00000171608","1551","1035","1012","166","3931","6237","3413","4797","1265","1925","413"
"ENSG00000171611","0","0","0","0","4","4","0","15","0","0","1"
"ENSG00000171612","152","21","281","2","56","54","54","12","97","59","37"
"ENSG00000171617","1","1","77","80","134","86","43","138","1387","207","103"
"ENSG00000171621","0","0","3","0","17","3","4","6","31","17","6"
"ENSG00000171631","0","2","20","26","0","1","1","14","1","1","0"
"ENSG00000171634","590","1685","2822","3294","2128","2415","1432","1053","5890","9576","3052"
"ENSG00000171643","232","0","302","0","3","7","13","48","0","0","2"
"ENSG00000171649","0","109","2","41","473","378","401","456","164","264","35"
"ENSG00000171657","0","1","1","5","25","54","31","6","100","126","24"
"ENSG00000171658","0","7","0","8","0","0","0","0","0","0","0"
"ENSG00000171659","0","0","0","5","13","40","34","3","4","10","10"
"ENSG00000171671","0","0","0","0","0","13","0","0","0","0","0"
"ENSG00000171680","0","0","0","33","0","0","0","0","3","1","3"
"ENSG00000171681","4666","8633","14115","3324","11392","10832","6863","6452","7693","13956","4499"
"ENSG00000171695","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000171700","1395","1039","1","2","1916","1017","1922","2202","407","392","104"
"ENSG00000171703","7","213","2","38","68","32","73","15","66","165","25"
"ENSG00000171711","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171714","0","0","147","140","12","0","27","9","12","4","3"
"ENSG00000171720","3","1049","891","1","984","800","790","675","308","302","103"
"ENSG00000171722","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171723","0","184","122","792","89","215","110","48","82","78","7"
"ENSG00000171724","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171729","0","0","0","19","0","0","0","3","1","0","0"
"ENSG00000171735","1584","1208","3571","1428","49","142","92","63","315","388","234"
"ENSG00000171747","0","0","46","37","50","15","14","0","22","32","8"
"ENSG00000171757","12","0","3","11","47","65","29","53","173","105","80"
"ENSG00000171759","0","0","150","22","0","0","0","0","0","0","0"
"ENSG00000171763","2","101","37","64","375","439","281","40","242","151","28"
"ENSG00000171766","0","0","0","5","529","99","91","140","497","310","52"
"ENSG00000171772","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171773","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171777","0","1","0","0","42","108","87","237","1","14","3"
"ENSG00000171786","0","0","2","31","0","0","0","0","0","6","4"
"ENSG00000171790","0","0","0","0","3","5","16","23","7","12","9"
"ENSG00000171791","717","1099","1005","180","1456","1271","970","313","5273","6781","1399"
"ENSG00000171792","394","849","19","0","251","208","310","324","113","284","259"
"ENSG00000171793","1482","404","441","612","330","478","323","388","353","368","138"
"ENSG00000171794","0","0","1","0","1","0","0","0","0","0","0"
"ENSG00000171798","0","0","3","9","1","0","24","8","5","2","2"
"ENSG00000171804","0","0","1108","80","0","3","3","0","1","11","2"
"ENSG00000171806","67","224","1973","173","157","108","219","137","87","182","134"
"ENSG00000171811","0","30","278","2","2","1","0","0","0","24","0"
"ENSG00000171812","0","0","1","0","0","0","0","9","3","18","10"
"ENSG00000171813","891","0","115","1","34","49","57","23","19","43","7"
"ENSG00000171815","0","0","0","4","0","0","0","0","0","0","0"
"ENSG00000171817","1","3","5","61","63","152","107","41","45","53","24"
"ENSG00000171819","0","0","0","30","15","30","6","3","9","46","11"
"ENSG00000171823","0","159","0","5","11","21","6","25","104","321","32"
"ENSG00000171824","1870","2578","1157","793","1410","1994","1204","1330","715","1231","344"
"ENSG00000171827","3","186","48","175","162","284","125","156","107","195","120"
"ENSG00000171840","7","287","0","2","42","20","23","92","32","21","1"
"ENSG00000171843","420","669","1194","242","185","127","82","63","164","456","94"
"ENSG00000171847","0","0","2","0","2","1","0","0","0","3","0"
"ENSG00000171848","1","3","1","40","0","1","27","95","3","3","2"
"ENSG00000171853","263","177","10","44","323","123","226","182","335","336","95"
"ENSG00000171855","0","0","92","0","0","0","0","0","0","0","0"
"ENSG00000171858","7600","12668","12224","6665","327","807","305","73","1845","657","1050"
"ENSG00000171860","0","1","0","17","67","35","166","384","3","4","6"
"ENSG00000171861","13","612","16","2","232","286","236","293","108","117","29"
"ENSG00000171862","918","18886","16629","7323","5016","5481","2823","5609","2623","3101","1136"
"ENSG00000171863","6600","9764","12039","4158","724","1321","807","381","1928","1175","438"
"ENSG00000171864","0","107","5","0","0","0","2","0","22","1","0"
"ENSG00000171865","428","503","347","358","253","149","120","232","560","678","255"
"ENSG00000171867","637","2104","2665","437","1598","1755","1140","2065","424","894","767"
"ENSG00000171872","0","0","15","75","0","0","0","0","0","0","0"
"ENSG00000171873","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171877","0","3","1","14","32","164","71","56","64","67","23"
"ENSG00000171885","0","0","327","0","0","0","0","0","0","0","0"
"ENSG00000171889","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000171903","0","0","0","87","0","0","0","0","0","1","0"
"ENSG00000171914","0","0","3","248","1","1","13","0","3","3","3"
"ENSG00000171916","0","0","18","10","2","0","0","11","0","0","0"
"ENSG00000171928","273","391","793","332","383","377","326","374","45","57","28"
"ENSG00000171931","0","0","0","98","0","0","0","0","0","3","0"
